index,song_title,artist,original_gender,original_continent,source,predicted_gender,predicted_continent,raw_model_response
14,Phenomenal,Eminem,male,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America

**Reasoning:**

*   **Gender:** The lyrics project a strong, assertive, and aggressive persona. The language used (""sissy,"" ""fuckin juggernaut,"" ""monster,"" ""steel cage match"") and the defiant tone strongly suggest a female artist reclaiming power and challenging traditional gender roles. The focus on self-empowerment and overcoming adversity further reinforces this.
*   **Continent:** While the lyrics don't explicitly mention a specific location, the slang, cultural references (Martha Stewart, Christopher Wallace, Cypress Hill), and overall lyrical style are heavily rooted in American hip-hop culture. The language and flow are characteristic of North American rap."
15,Try,P!nk,female,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
16,Not To Much - Remastered 2016,Don Omar,male,north america,spotify,male,South America,"GENDER: male
CONTINENT: South America"
17,Love Sosa,Chief Keef,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
18,Mama Knew Love,Anthony Hamilton,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
19,Generé,Bipo Montana,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
20,Did It Again,Lil Tecca,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
21,I'll Be All You'll Ever Need,Trinere,female,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
22,Heartless (feat. Mustard),Polo G,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
23,Say My Name,Lil Yachty,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
24,Without You - Remastered,Harry Nilsson,male,north america,spotify,male,Europe,"GENDER: male
CONTINENT: Europe"
25,Raise Up,Petey Pablo,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
26,Get the Party Started,P!nk,female,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
27,Paloma Negra,Chavela Vargas,female,north america,spotify,male,Europe,"GENDER: male
CONTINENT: Europe"
28,2025-11-07 00:00:00,Beyoncé,female,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
29,My Nigga,YG,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
30,pete davidson,Ariana Grande,female,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
31,Go to Hell,Alice Cooper,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
32,Paparazzi,Lady Gaga,female,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
33,Where I Won't Be Found,Seven Lions,male,north america,spotify,female,Europe,"GENDER: female
CONTINENT: Europe"
34,Go Getta,Jeezy,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
35,California,DJ Quik,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
36,How Ya Like Me Now - Longer Version,Kool Moe Dee,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
37,No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
38,Encanto,Don Omar,male,north america,spotify,male,South America,"GENDER: male
CONTINENT: South America"
39,I Don't Wanna,Aaliyah,female,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
40,First World Problemz / Nobody Carez,Brent Faiyaz,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
41,Marvins Room,Drake,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
42,Beautiful Trauma - MOTi Remix,P!nk,female,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
43,Dancewitme,Maxwell,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
44,Grateful (Neon Feather Remix),Cade Thompson,male,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
45,Jungli Sher,DIVINE,male,north america,spotify,male,Asia,"GENDER: male
CONTINENT: Asia"
46,Hot In Herre,Nelly,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
47,Rearranged,Killstation,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
48,No Stylist,French Montana,male,north america,spotify,female,Europe,"GENDER: female
CONTINENT: Europe"
49,Da Graveyard,Big L,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
50,Bored,Billie Eilish,female,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
51,Certainly - Flipped It,Erykah Badu,female,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
52,Don't You Want Me,Jody Watley,female,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
53,I'm a Mess,Bebe Rexha,female,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
54,Ready Set (feat. Big Sean),Kash Doll,female,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
55,I See Your Smile,Gloria Estefan,female,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
56,Feel Me (feat. Kanye West),Tyga,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
57,Andar Conmigo,Julieta Venegas,female,north america,spotify,female,Europe,"GENDER: female
CONTINENT: Europe"
58,"Camelot (feat. Yo Gotti, BlocBoy JB & Moneybagg Yo) - Remix",NLE Choppa,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
59,Nothin' But The Cavi Hit,Mack 10,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
60,Alladat,Jarren Benton,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
61,Forget,Twin Shadow,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
62,It's Goin' Down (feat. Nitti),Yung Joc,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
63,Middle Of The Night,MJG,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
64,Miss You Much,Janet Jackson,female,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
65,Best Life,Danny Brown,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
66,Talk - Alle Farben Remix,Khalid,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
67,The Way,Ariana Grande,female,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
68,Ride Wit Me,Nelly,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
69,We Don't Talk Anymore,Charlie Puth,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
70,"i hate u, i love u (feat. olivia o'brien) - Deepend Remix",gnash,male,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
71,Drew Barrymore,SZA,female,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
72,Fire Fly,Childish Gambino,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
73,Liar,Camila Cabello,female,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
74,Safety (feat. DJ Snake) - Dark Heart Burn Mix,GASHI,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
75,Best Rapper Alive,Lil Wayne,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
76,Sleepy Eyes,Elohim,female,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
77,Got To Get It,Sisqo,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
78,Inocente,Myke Towers,male,north america,spotify,male,Africa,"GENDER: male
CONTINENT: Africa"
79,Make Believe,Kenny Lattimore,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
80,High Fashion (feat. Mustard),Roddy Ricch,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
81,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,female,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
82,Nasty,Janet Jackson,female,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
83,Dr. Beat,Gloria Estefan,female,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
84,Cupid Shuffle,Cupid,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
85,Por Contarle Los Secretos,Jon Z,male,north america,spotify,male,South America,"GENDER: male
CONTINENT: South America"
86,Not Backing Down,Blanca,female,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
87,FRIENDS,Marshmello,male,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
88,All Day All Night,Bobby Brown,male,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
89,Good Nights (feat. Mascolo),Whethan,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
90,Where Do We Go,Solange,female,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
91,All In My Head,Tori Kelly,female,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
92,Sorry,Justin Bieber,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
93,Sleep Talking,Charlotte Lawrence,female,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
94,Nudies,24hrs,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
95,Can't C Me,2Pac,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
96,You're Makin' Me High,Toni Braxton,female,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
97,News For You,Eric Benét,male,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
98,This Is The Shack,Warren G,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
99,In Da Club,50 Cent,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
100,Outta My Head (with John Mayer),Khalid,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
101,UP THE SMOKE (with Offset),Stunna 4 Vegas,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
102,Into You (feat. Tamia) - Radio Edit,Fabolous,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
103,Side To Side - Slushii Remix,Ariana Grande,female,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
104,Good Looking,Don Omar,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
105,More,Zion,male,north america,spotify,male,South America,"GENDER: male
CONTINENT: South America

**Reasoning:**

*   **Gender:** The lyrics express a persistent pursuit and possessiveness (""I've been watching you,"" ""I desire you quickly,"" ""I'm coming for you""). The language used is quite direct and assertive, often associated with a male perspective in romantic contexts. Phrases like ""I turned you on, I gave it to you"" further reinforce this impression.
*   **Continent:** Several clues point to South America, specifically a Latin American origin:
    *   **Language/Slang:** The repeated phrases ""Here take so you can fall in love,"" ""more more,"" and especially the inclusion of words like ""wiki wiki,"" ""zippy zippy,"" and ""perreo"" are strongly indicative of Spanish-language music and culture. ""Perreo"" is a specific dance style common in Latin America, particularly Puerto Rico and the Dominican Republic.
    *   **Musical Style:** The overall tone and lyrical content suggest a reggaeton or Latin trap influence.
    *   **Cultural References:** The references to dancing and a playful, seductive dynamic are common themes in Latin American music."
106,Los Angeles Times,Xzibit,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
107,Ronca,Don Omar,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
108,Get It On Tonite,Montell Jordan,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
109,Free (feat. T-Jay),GAWVI,male,north america,spotify,male,Africa,"GENDER: male
CONTINENT: Africa"
110,Love Scars,Trippie Redd,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
111,Storm (feat. Kyra Mastro),Famba,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
112,Fuentes de Ortiz,Ed Maverick,male,north america,spotify,male,South America,"GENDER: male
CONTINENT: South America"
113,Without Love,Nikka Costa,female,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
114,Grillz - Dirty,Nelly,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
115,So Good (feat. Raekwon),Davina,female,north america,spotify,male,Africa,"GENDER: male
CONTINENT: Africa"
116,Seppuku (feat. Suicideboy$ & Jgrxxn),Ghostemane,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
117,Belief - Acoustic,John Mayer,male,north america,spotify,male,Europe,"GENDER: male
CONTINENT: Europe"
118,Dilemma,Nelly,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
119,When Can I See You,Babyface,male,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
120,Fortunate,Maxwell,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
121,Your Peace (feat. Lil Baby),Jacquees,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
122,Blood // Water,grandson,male,north america,spotify,female,Africa,"GENDER: female
CONTINENT: Africa"
123,Shame,Freddie Gibbs,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
124,I Saw the Light,Todd Rundgren,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
125,They Don't Know,Jon B.,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
126,This Is America,Childish Gambino,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
127,In My Feelings,Drake,male,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
128,Backyard Boogie,Mack 10,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
129,Estamos Arriba,Bad Bunny,male,north america,spotify,male,South America,"GENDER: male
CONTINENT: South America"
130,Let The Beat Build,Lil Wayne,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
131,Hooka,Don Omar,male,north america,spotify,male,South America,"GENDER: male
CONTINENT: South America"
132,Can't Take My Eyes off You,Frankie Valli,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
133,I Seen A Man Die,Scarface,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
134,Golden,Jill Scott,female,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
135,Make It Better (feat. Smokey Robinson),Anderson .Paak,male,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
136,ZEZE (feat. Travis Scott & Offset),Kodak Black,male,north america,spotify,Male,North America,"GENDER: Male
CONTINENT: North America"
137,Ghost - Lost Kings Remix,Halsey,female,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
138,Just Us (feat. SZA),DJ Khaled,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
139,Sola,Luis Fonsi,male,north america,spotify,male,Europe,"GENDER: male
CONTINENT: Europe"
140,Forever,Drake,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
141,The Format,AZ,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
142,Pretending (feat. Jessie Reyez),A Boogie Wit da Hoodie,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
143,Issues/Hold On,Teyana Taylor,female,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
144,No Me Dejes de Querer,Gloria Estefan,female,north america,spotify,female,South America,"GENDER: female
CONTINENT: South America"
145,All I Want for Christmas Is You,Mariah Carey,female,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
146,Don't Stop The Music,Rihanna,female,north america,spotify,male,Africa,"GENDER: male
CONTINENT: Africa"
147,Hideaway,Kiesza,female,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
148,VALENTINO,24kGoldn,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
149,Flying On My Own - Dave Audé Remix,Céline Dion,female,north america,spotify,male,Europe,"GENDER: male
CONTINENT: Europe"
150,Low (feat. T-Pain),Flo Rida,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
151,Into You (feat. Fabolous),Tamia,female,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
152,No Captain - Dirty South Remix,Lane 8,male,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
153,Emotions,Mariah Carey,female,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
154,Beside You,Karyn White,female,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
155,Pumps and a Bump,MC Hammer,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
156,Outlaw Shit (feat. Waylon Jennings & Yelawolf),Struggle Jennings,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
157,Belly Danza - Remastered 2016,Don Omar,male,north america,spotify,male,South America,"GENDER: male
CONTINENT: South America"
158,Father O'Blivion,Frank Zappa,male,north america,spotify,male,Europe,"GENDER: male
CONTINENT: Europe"
159,Let Her Go,6LACK,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
160,Hands In The Air,8Ball,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
161,Never Lie (feat. Moneybagg Yo),Wiz Khalifa,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
162,Lyte as a Rock,MC Lyte,female,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
163,At Last - Single Version,Etta James,female,north america,spotify,male,Europe,"GENDER: male
CONTINENT: Europe"
164,Missing You,Case,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
165,Dynamite,China Anne McClain,female,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
166,Too Many,Tyga,male,north america,spotify,,,Please provide the lyrics you want me to classify. I'm ready when you are! Just paste the lyrics here.
167,Somethin' 4 Da Honeyz,Montell Jordan,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
168,Disco Inferno - Live from Sessions @ AOL,50 Cent,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
169,Love Myself,Hailee Steinfeld,female,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
170,"Go Hard, Go Home (feat. Giz, Swellz & Choppa)",Roy Jones Jr.,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
171,Gimme de Tu Amor,Soraya,female,north america,spotify,female,Europe,"GENDER: female
CONTINENT: Europe"
172,Eastside (with Halsey & Khalid),benny blanco,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
173,Yuck,Logic,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
174,Bump n' Grind,R. Kelly,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
175,Mona Lisa (feat. Kendrick Lamar),Lil Wayne,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
176,The Party & The After Party,The Weeknd,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
177,Everlasting Love,Gloria Estefan,female,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
178,California Love - Original Version (Explicit),2Pac,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
179,Amor De Pobre,Zion,male,north america,spotify,male,South America,"GENDER: male
CONTINENT: South America"
180,You Know My Name,Tasha Cobbs Leonard,female,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
181,Good Cop Bad Cop,Ice Cube,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
182,Give It Here,Def Jef,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
183,Parecen Viernes,Marc Anthony,male,north america,spotify,male,Europe,"GENDER: male
CONTINENT: Europe"
184,Disrespectful,GASHI,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
185,Like A Pimp,David Banner,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
186,Cruel,Jeff Bernat,male,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
187,Si Me Gano Un Grammy,Jon Z,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
188,Too Good,Christian Kuria,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
189,rockstar (feat. 21 Savage),Post Malone,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
190,De Repente,Soraya,female,north america,spotify,male,Europe,"GENDER: male
CONTINENT: Europe"
191,Where Did My Baby Go,John Legend,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
192,Xxplosive,Dr. Dre,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
193,Walk on the Wild Side,Lou Reed,male,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
194,Sneak Diss (feat. So6ix),Ghostemane,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
195,Lemme Freak,Lil Dicky,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
196,No Problem,Lil Scrappy,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
197,"Sit Still, Look Pretty",Daya,female,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
198,Mrs. Officer,Lil Wayne,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
199,Paradise,Matthew Parker,male,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
200,Be As You Are - JordanXL Remix,Mike Posner,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
201,Hey Ya,Obadiah Parker,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
202,Habits of My Heart - EP Version,Jaymes Young,male,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
203,TOGETHER,KAYTRANADA,male,north america,spotify,male,Africa,"GENDER: male
CONTINENT: Africa"
204,Hollaback Girl,Gwen Stefani,female,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
205,Save Me,Aimee Mann,female,north america,spotify,female,Europe,"GENDER: female
CONTINENT: Europe"
206,Bella y Sensual,Romeo Santos,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
207,Losing You,Solange,female,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
208,It Ain't My Fault,Silkk The Shocker,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
209,I'm Coming Out,Diana Ross,female,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
210,Reminisce,Mary J. Blige,female,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
211,When Doves Cry,Ginuwine,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
212,Pony - Recorded at Spotify Studios NYC,Leon Bridges,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
213,Still Got Me (feat. Jocelyn Bowman),GAWVI,male,north america,spotify,female,South America,"GENDER: female
CONTINENT: South America"
214,Iggin' Me,Chico DeBarge,male,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
215,Regulate,Warren G,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
216,Rock Bottom,grandson,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
217,Wow. - Remix,Post Malone,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
218,Quiere Beber,Anuel AA,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
219,Wake Up - Sondr Remix,Chelsea Cutler,female,north america,spotify,male,Europe,"GENDER: male
CONTINENT: Europe"
220,More Than A Woman (feat. Calvin) - Duet w/ Calvin,Angie Stone,female,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
221,Post to Be (feat. Chris Brown & Jhene Aiko),Omarion,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
222,Fade All My Life,Unlike Pluto,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
223,My Prerogative,Bobby Brown,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
224,Don't Trip,The Game,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
225,Keep It Real,Jon B.,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
226,Holidae In,Chingy,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
227,Anywhere,Dillon Francis,male,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
228,Stone Free,Jimi Hendrix,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
229,Easy Go,Grandtheft,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
230,Kush Ups (feat. Wiz Khalifa),Snoop Dogg,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
231,As Above so Look out Below,Ghostemane,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
232,Two Miles An Hour,Ludacris,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
233,Cha Cha Cha,MC Lyte,female,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
234,BOBBY (feat. My Dad),Logic,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
235,143,Musiq Soulchild,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
236,Down On My Luck,Vic Mensa,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
237,Mall,Gucci Mane,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
238,No Other Love (feat. Estelle),John Legend,male,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
239,Travelin' Man,Albert King,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
240,"Hold On, We're Going Home",Drake,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
241,VIBEZ,DaBaby,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
242,ZEZE,Kodak Black,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
243,Turnin' Me Up,BJ The Chicago Kid,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
244,R U Mine (SteLouse Remix),ROZES,female,north america,spotify,male,Europe,"GENDER: male
CONTINENT: Europe"
245,I'll Whip Ya Head Boy,50 Cent,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
246,Crime Wave,50 Cent,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
247,I Was Sad Last Night I'm OK Now,tobi lou,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
248,Te Suelto el Pelo,Yandel,male,north america,spotify,male,South America,"GENDER: male
CONTINENT: South America"
249,Heaven,Bryan Adams,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
250,Because of You,Kelly Clarkson,female,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
251,All Work,Curren$y,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
252,Vuelva A Ver - Remix,Dalex,male,north america,spotify,male,Africa,"GENDER: male
CONTINENT: Africa"
