song_title,artist,musical_genre,ethnicity,musical_subgenre,gender
Nothin' But The Cavi Hit,Mack 10,rap,north-american,gangster rap,male
Alladat,Jarren Benton,r&b,north-american,urban contemporary,male
Losing It,FISHER,edm,north-american,electro house,female
Howling,RY X,pop,oceania,indie poptimism,male
48H (feat. Sfera Ebbasta),Izi,rap,european,trap,male
Hard To Handle,The Black Crowes,rock,north-american,classic rock,Group
Rhiannon,Fleetwood Mac,rock,european,classic rock,Group
"If You Leave - From ""Pretty In Pink""",Orchestral Manoeuvres In The Dark,rock,european,permanent wave,Group
Forget,Twin Shadow,pop,north-american,electropop,male
Make Me Feel Better - Klingande Remix,Alex Adair,latin,european,tropical,male
I Adore Mi Amor,Color Me Badd,r&b,north-american,new jack swing,Group
Panama - 2015 Remaster,Van Halen,rock,north-american,classic rock,Group
It's Goin' Down (feat. Nitti),Yung Joc,rap,north-american,hip hop,male
Ich Binnezz,Bonez MC,rap,european,gangster rap,male
Middle Of The Night,MJG,rap,north-american,southern hip hop,male
Bring It On,Geto Boys,rap,north-american,southern hip hop,Group
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,edm,european,pop edm,female
I Go Blind,Hootie & The Blowfish,rock,north-american,classic rock,Group
Miss You Much,Janet Jackson,r&b,north-american,new jack swing,female
Let Your Love Flow,The Bellamy Brothers,rock,north-american,classic rock,Group
Let It Happen,Tame Impala,pop,oceania,electropop,male
Best Life,Danny Brown,r&b,north-american,hip pop,male
Talk - Alle Farben Remix,Khalid,pop,north-american,dance pop,male
Bad (feat. Vassy) - Radio Edit,David Guetta,edm,european,big room,male
The Way,Ariana Grande,pop,north-american,post-teen pop,female
Headlights (feat. Ilsey),Robin Schulz,pop,european,electropop,male
Golden Years - M-Phazes Remix,Ruel,pop,oceania,indie poptimism,male
Ride Wit Me,Nelly,rap,north-american,hip hop,male
Tunnel of Love (Intro: The Carousel Waltz),Dire Straits,rock,european,classic rock,Group
We Don't Talk Anymore,Charlie Puth,pop,north-american,electropop,male
Russian Radio,Red Flag,rock,north-american,permanent wave,Group
MIDDLE OF THE NIGHT,Monsta X,pop,asian,dance pop,Group
Safari,J Balvin,latin,latino,latin hip hop,male
"i hate u, i love u (feat. olivia o'brien) - Deepend Remix",gnash,edm,north-american,pop edm,male
Sektion (feat. Branco & Gilli),Benny Jamz,rap,european,hip hop,male
Bon Bon Chocolat,EVERGLOW,pop,asian,dance pop,Group
Shotgun - Quintino Remix,Yellow Claw,edm,european,electro house,Group
Drew Barrymore,SZA,r&b,north-american,urban contemporary,female
In Only Seven Days - Remastered 2011,Queen,rock,european,album rock,Group
Fire Fly,Childish Gambino,r&b,north-american,neo soul,male
Adrenalize,In This Moment,rock,north-american,hard rock,Group
Poison,Bell Biv DeVoe,r&b,north-american,new jack swing,Group
You Really Got Me - 2004 Remaster,Van Halen,rock,north-american,hard rock,Group
Peachy Keen,L Devine,pop,european,post-teen pop,female
Trenches,Pop Evil,rock,north-american,hard rock,Group
Liar,Camila Cabello,pop,north-american,post-teen pop,female
Safety (feat. DJ Snake) - Dark Heart Burn Mix,GASHI,edm,north-american,pop edm,male
The Whole World (feat. Killer Mike),OutKast,rap,north-american,southern hip hop,Group
Guardia Civil,Reda Rwena,rap,european,gangster rap,male
Calabria - Firebeatz Remix,Rune RK,edm,european,electro house,male
Best Rapper Alive,Lil Wayne,rap,north-american,southern hip hop,male
Always on My Mind,Pet Shop Boys,pop,european,electropop,Group
Magenta (prod. Auer),Pezet,rap,european,hip hop,male
Fortunate Son,Creedence Clearwater Revival,rock,north-american,classic rock,Group
Chillax,Alkilados,latin,latino,latin pop,Group
Sleepy Eyes,Elohim,rap,north-american,trap,female
In Between Days - 2006 Remaster,The Cure,rock,european,permanent wave,Group
Got To Get It,Sisqo,r&b,north-american,new jack swing,male
Inocente,Myke Towers,latin,north-american,reggaeton,male
I Wanna Sex You Up,Color Me Badd,r&b,north-american,new jack swing,Group
Million Years,Gareth Emery,edm,european,progressive electro house,male
Make Believe,Kenny Lattimore,r&b,north-american,neo soul,male
Go Your Own Way - 2004 Remaster,Fleetwood Mac,rock,european,classic rock,Group
Drop In the Ocean,OMI,latin,latino,latin hip hop,male
The Second Brightest Star,Big Big Train,rock,european,album rock,Group
Summer on You,PRETTYMUCH,r&b,north-american,hip pop,Group
Living in Oblivion,Anything Box,rock,north-american,permanent wave,Group
Dream On,Aerosmith,rock,north-american,classic rock,Group
High Fashion (feat. Mustard),Roddy Ricch,rap,north-american,hip hop,male
22,TINI,latin,latino,latin pop,female
Good as Hell (feat. Ariana Grande) - Remix,Lizzo,pop,north-american,post-teen pop,female
Nasty,Janet Jackson,rock,north-american,album rock,female
Siempre Peligroso (feat. Fermin IV Caballero) - feat. Fermin IV Caballero of Control Machete,Cypress Hill,rap,north-american,gangster rap,Group
I Was Made For Lovin' You,KISS,rock,north-american,classic rock,Group
Own It (feat. Ed Sheeran & Burna Boy),Stormzy,rap,european,hip hop,male
Dr. Beat,Gloria Estefan,latin,north-american,latin pop,female
Busy Earnin',Jungle,pop,european,dance pop,Group
Cupid Shuffle,Cupid,rap,north-american,southern hip hop,male
Por Contarle Los Secretos,Jon Z,rap,north-american,trap,male
Beast Of Burden - Remastered,The Rolling Stones,rock,european,album rock,Group
Drown,Theory of a Deadman,rock,north-american,hard rock,Group
Not Backing Down,Blanca,edm,north-american,progressive electro house,female
Get Free (feat. Amber Coffman),Major Lazer,pop,latino,post-teen pop,Group
Why'd You Only Call Me When You're High?,Arctic Monkeys,rock,european,permanent wave,Group
Hello Hello,Fickle Friends,pop,european,indie poptimism,Group
Dare You - Radio Edit,Hardwell,edm,european,big room,male
Real Eyes,Fili,pop,north-american,indie poptimism,Person
FRIENDS,Marshmello,pop,north-american,electropop,male
All Day All Night,Bobby Brown,r&b,north-american,new jack swing,male
Celebration (feat. Ky-Mani Marley),Maffio,latin,latino,tropical,male
Ready for Love - 2015 Remaster,Bad Company,rock,european,album rock,Group
Good Nights (feat. Mascolo),Whethan,pop,north-american,indie poptimism,male
Where Do We Go,Solange,r&b,north-american,urban contemporary,female
Back In Black,AC/DC,pop,oceania,post-teen pop,Group
Little Lies,Fleetwood Mac,rock,european,classic rock,Group
Urgent,Foreigner,rock,north-american,classic rock,Group
California,Delinquent Habits,latin,north-american,latin hip hop,Group
Say It's Gonna Rain,Will To Power,latin,north-american,latin hip hop,Group
Million Pieces - M-22 Remix,Bastille,pop,european,dance pop,Group
Lebensborn - Update,[:SITD:],pop,european,electropop,Group
Triste,Kase.O,r&b,european,urban contemporary,male
The Hunted (feat. Sully Erna),Saint Asonia,rock,north-american,hard rock,Group
I Follow Rivers,Lykke Li,pop,european,indie poptimism,female
She's Long Gone,The Black Keys,rap,north-american,southern hip hop,Group
All In My Head,Tori Kelly,r&b,north-american,urban contemporary,female
Sorry,Justin Bieber,pop,north-american,dance pop,male
Sleep Talking,Charlotte Lawrence,pop,north-american,indie poptimism,female
Nudies,24hrs,rap,north-american,trap,male
Can't C Me,2Pac,rap,north-american,gangster rap,male
Let Me Roll It - Remastered 2010,Paul McCartney,rock,european,album rock,male
Cosmic Dark,Pitchback,edm,european,progressive electro house,Group
You're Makin' Me High,Toni Braxton,r&b,north-american,new jack swing,female
Ella Me Cautivo,J Balvin,latin,latino,reggaeton,male
The Middle,Zedd,pop,european,dance pop,male
News For You,Eric Benét,r&b,north-american,neo soul,male
Big & Loud,Nick Nolan,rap,north-american,southern hip hop,male
Oye,TINI,latin,latino,latin pop,female
Dragostea Din Tei - Original Romanian Version,O-Zone,pop,european,dance pop,Group
Champion,Fall Out Boy,r&b,north-american,hip pop,Group
This Is The Shack,Warren G,rap,north-american,southern hip hop,male
In Da Club,50 Cent,rap,north-american,gangster rap,male
Outta My Head (with John Mayer),Khalid,latin,north-american,latin pop,male
Point of No Return,Nu Shooz,latin,north-american,latin hip hop,Group
Pedro Navaja,Rubén Blades,latin,latino,latin hip hop,male
Rockstar (feat. DV8),Timmy Trumpet,edm,oceania,progressive electro house,male
Icky Thump,The White Stripes,rock,north-american,permanent wave,Group
Come With Me,Shai,r&b,north-american,new jack swing,Group
Papaoutai,Stromae,rap,european,southern hip hop,male
UP THE SMOKE (with Offset),Stunna 4 Vegas,rap,north-american,hip hop,male
Into You (feat. Tamia) - Radio Edit,Fabolous,r&b,north-american,hip pop,male
Melaza,Tiro De Gracia,latin,latino,latin hip hop,Group
Tus Ojos No Me Ven - feat. Joewell y Randy,Joey Montana,latin,latino,latin pop,male
Los Olores de Tu Alma,Javiera Mena,pop,latino,electropop,female
Don't Kill My High,Lost Kings,pop,north-american,electropop,Group
Side To Side - Slushii Remix,Ariana Grande,edm,north-american,pop edm,female
Return To Love,Andrea Bocelli,r&b,european,hip pop,male
Heart Of Glass - Special Mix,Blondie,rock,north-american,permanent wave,Group
Whipping Post,The Allman Brothers Band,rock,north-american,classic rock,Group
Moonlight,Gaullin,pop,european,dance pop,male
Good Looking,Don Omar,latin,north-american,reggaeton,male
This Is Why I'm Hot,MiMS,rap,north-american,southern hip hop,Person
More,Zion,latin,north-american,reggaeton,male
Getaway,Tritonal,edm,north-american,pop edm,Group
Digging My Own Grave,Escape the Fate,rock,north-american,hard rock,Group
Los Angeles Times,Xzibit,rap,north-american,southern hip hop,male
Love Like Mine,Miami Horror,pop,oceania,indie poptimism,Group
Ronca,Don Omar,latin,north-american,reggaeton,male
Get It On Tonite,Montell Jordan,r&b,north-american,hip pop,male
Boy I've Been Told,Safire,latin,oceania,latin hip hop,male
Ain't My Fault,Zara Larsson,pop,european,indie poptimism,female
Far Away,Nickelback,rock,north-american,permanent wave,Group
The Kids Are Alright - Mono/Stereo Version,The Who,rock,european,classic rock,Group
Shakin' Off The Rust,The Blue Stones,rock,north-american,hard rock,Group
Dancing On Glass,St. Lucia,pop,european,indie poptimism,male
Galway Girl,Ed Sheeran,pop,european,electropop,male
Free (feat. T-Jay),GAWVI,edm,north-american,progressive electro house,male
Freak Like Me,Halestorm,rock,north-american,hard rock,Group
Vice Grip,Parkway Drive,rock,oceania,hard rock,Group
Show Me Love,Robin Schulz,pop,european,indie poptimism,male
If I Lose Myself - Alesso vs OneRepublic,OneRepublic,edm,north-american,progressive electro house,Group
Him Or Me - Edit Version,Today,r&b,north-american,new jack swing,Group
Love Scars,Trippie Redd,rap,north-american,trap,male
Stairway To Heaven,Led Zeppelin,rock,european,classic rock,Group
Severed,The Decemberists,pop,north-american,electropop,Group
Don't Wanna Know,Maroon 5,pop,north-american,electropop,Group
Storm (feat. Kyra Mastro),Famba,edm,north-american,electro house,male
Prettiest Virgin (Radio Edit),Agar Agar,pop,european,indie poptimism,Group
Fuentes de Ortiz,Ed Maverick,latin,north-american,latin pop,male
Cold Ain't For Me,Oceans,pop,european,indie poptimism,Group
Schreibe mein Schicksal,Haze,rap,european,gangster rap,Group
WANT,TAEMIN,pop,asian,dance pop,male
Suave (Remix),El Alfa,latin,latino,latin hip hop,male
The Bottle,Hermano,rap,north-american,southern hip hop,Group
Who's Got Your Love - Mike Williams Remix,Cheat Codes,edm,north-american,progressive electro house,Group
Without Love,Nikka Costa,r&b,north-american,neo soul,female
Conquista,Jerau,latin,latino,latin pop,male
Take Me to Church,Hozier,pop,european,post-teen pop,male
Grillz - Dirty,Nelly,rap,north-american,southern hip hop,male
So Good (feat. Raekwon),Davina,r&b,north-american,new jack swing,female
Seppuku (feat. Suicideboy$ & Jgrxxn),Ghostemane,rap,north-american,gangster rap,male
Belief - Acoustic,John Mayer,latin,north-american,latin pop,male
Dilemma,Nelly,rap,north-american,southern hip hop,male
When Can I See You,Babyface,r&b,north-american,new jack swing,male
Fortunate,Maxwell,r&b,north-american,neo soul,male
Bonita,J Balvin,latin,latino,reggaeton,male
Dag 1,Gilli,rap,european,hip hop,male
Your Peace (feat. Lil Baby),Jacquees,r&b,north-american,neo soul,male
Blood // Water,grandson,pop,north-american,electropop,male
A las Cosas por Su Nombre,Violadores Del Verso,latin,european,latin hip hop,Group
Shame,Freddie Gibbs,r&b,north-american,neo soul,male
Light Up the Sky,Thousand Foot Krutch,rock,north-american,hard rock,Group
Too Late,NIMMO,pop,european,indie poptimism,Group
My Death,Scott Walker,rock,european,permanent wave,male
All The Way,Timeflies,edm,north-american,progressive electro house,Group
Everybody Wants To Rule The World - Extended Version,Tears For Fears,pop,european,electropop,Group
Riot Rhythm,Sleigh Bells,rock,north-american,album rock,Group
I Saw the Light,Todd Rundgren,rock,north-american,classic rock,male
Cruel (feat. ZAYN),Snakehips,pop,european,indie poptimism,Group
Love Is a Bitch,Two Feet,pop,north-american,indie poptimism,male
Mafo,Naira Marley,latin,european,latin pop,male
They Don't Know,Jon B.,r&b,north-american,urban contemporary,male
Setting Fires,The Chainsmokers,edm,north-american,pop edm,Group
Money Longer,Lil Uzi Vert,rap,north-american,gangster rap,non-binary
King Harvest (Has Surely Come) - Alternate Take/Remastered,The Band,rock,north-american,classic rock,Group
This Is America,Childish Gambino,pop,north-american,post-teen pop,male
Seele,Azet,rap,european,hip hop,male
Sincera,Fred De Palma,latin,european,latin hip hop,male
A Donde,Sentidos Opuestos,pop,north-american,electropop,Group
In My Feelings,Drake,r&b,north-american,hip pop,male
Backyard Boogie,Mack 10,rap,north-american,southern hip hop,male
We Sink,Of Monsters and Men,pop,european,indie poptimism,Group
Falling Down,Pallas,rock,european,album rock,Group
Estamos Arriba,Bad Bunny,rap,north-american,trap,male
Clocks,Coldplay,pop,european,electropop,Group
Let The Beat Build,Lil Wayne,rap,north-american,hip hop,male
Karate,R3HAB,edm,european,big room,male
Dynamite - Original Mix,Quintino,edm,european,electro house,male
Hooka,Don Omar,latin,north-american,reggaeton,male
Song For You,Rhye,pop,north-american,indie poptimism,Group
Can't Take My Eyes off You,Frankie Valli,r&b,north-american,urban contemporary,male
Bad Moon Rising,Creedence Clearwater Revival,rock,north-american,classic rock,Group
I Seen A Man Die,Scarface,rap,north-american,gangster rap,male
Golden,Jill Scott,r&b,north-american,neo soul,female
Make It Better (feat. Smokey Robinson),Anderson .Paak,r&b,north-american,neo soul,male
One For the Money,Escape the Fate,rock,north-american,hard rock,Group
All I Wanna Do,Martin Jensen,pop,european,dance pop,male
Ni Un Fruto,Denise Rosenthal,latin,latino,latin pop,female
Let You Know - Nathan C Remix,Flume,edm,oceania,progressive electro house,male
Fly By Night,Rush,rock,north-american,classic rock,Group
Feel It All Around,Washed Out,pop,north-american,indie poptimism,male
Hold Me Now,Thompson Twins,rock,european,permanent wave,Group
Una y Otra Vez,Manuel Medrano,latin,latino,latin pop,male
LUNA,Sick Individuals,edm,european,big room,Group
ZEZE (feat. Travis Scott & Offset),Kodak Black,latin,north-american,latin hip hop,male
I Heard It Through The Grapevine - Single Version,Creedence Clearwater Revival,rock,north-american,classic rock,Group
Deliriously Good,Rat City,pop,european,post-teen pop,Group
Ghost - Lost Kings Remix,Halsey,pop,north-american,indie poptimism,female
Surrender,Cash Cash,edm,north-american,pop edm,Group
Mayor Que Yo 3,Luny Tunes,latin,latino,reggaeton,Group
Vete,Khea,rap,latino,trap,male
Just Us (feat. SZA),DJ Khaled,latin,north-american,latin pop,male
Blood - Remix,Moonkey,rap,european,trap,male
Sola,Luis Fonsi,latin,north-american,latin pop,male
Long Road To Ruin,Foo Fighters,rock,north-american,permanent wave,Group
Is' mir egal,Hanybal,rap,european,gangster rap,male
Von unten nach oben,TaiMO,rap,european,gangster rap,male
Forever,Drake,rap,north-american,southern hip hop,male
Song To The Siren (Remastered),This Mortal Coil,pop,european,electropop,Group
Tu Luz,Azul Violeta,pop,north-american,electropop,Group
The Format,AZ,rap,north-american,southern hip hop,male
Tell Me You Love Me - NOTD Remix,Demi Lovato,edm,north-american,pop edm,non-binary
Kannste ma sehn,Baba Saad,rap,european,gangster rap,male
Pretending (feat. Jessie Reyez),A Boogie Wit da Hoodie,r&b,north-american,urban contemporary,male
Helter Skelter - Remastered 2009,The Beatles,rock,european,classic rock,Group
The Reason (Sean Cook Remix),Urban Rescue,pop,north-american,dance pop,Group
Simply Irresistible,Robert Palmer,rock,european,hard rock,male
Red,HyunA,edm,asian,pop edm,female
If You Love Me,Brownstone,r&b,north-american,urban contemporary,Group
Cool Blue,The Japanese House,pop,european,indie poptimism,female
Already Dead,Hollywood Undead,rock,north-american,hard rock,Group
Fly Like An Eagle,Steve Miller Band,rock,north-american,classic rock,Group
Tsunami,DVBBS,edm,north-american,big room,Group
Issues/Hold On,Teyana Taylor,r&b,north-american,urban contemporary,female
Close To Me (with Diplo) (feat. Swae Lee) - Felix Cartal Remix,Ellie Goulding,pop,european,dance pop,female
No Me Dejes de Querer,Gloria Estefan,latin,north-american,latin pop,female
All I Want for Christmas Is You,Mariah Carey,r&b,north-american,neo soul,female
Don't Stop The Music,Rihanna,latin,north-american,latin hip hop,female
"I Don't Want to Miss a Thing - From the Touchstone film, ""Armageddon""",Aerosmith,rock,north-american,classic rock,Group
Dear Agony,Breaking Benjamin,rock,north-american,hard rock,Group
Simple Hit,Dombresky,pop,european,dance pop,male
Madness,Muse,rock,european,permanent wave,Group
The Violence,Asking Alexandria,rock,european,hard rock,Group
Policy Of Truth - 2006 Remastered Version,Depeche Mode,rock,european,permanent wave,Group
Bandito,Enzo Dong,rap,european,trap,male
Let Her Go,The Kid LAROI,rap,oceania,hip hop,male
Hideaway,Kiesza,latin,north-american,tropical,female
Girl You Know It's True,Milli Vanilli,r&b,european,new jack swing,Group
VALENTINO,24kGoldn,rap,north-american,hip hop,male
Shoot to Thrill,AC/DC,rock,oceania,classic rock,Group
Frontlines,Zeds Dead,pop,north-american,indie poptimism,Group
Flying On My Own - Dave Audé Remix,Céline Dion,edm,north-american,big room,female
Just Like You,Three Days Grace,rock,north-american,hard rock,Group
Low (feat. T-Pain),Flo Rida,pop,north-american,post-teen pop,male
Into You (feat. Fabolous),Tamia,r&b,north-american,urban contemporary,female
No Captain - Dirty South Remix,Lane 8,edm,north-american,progressive electro house,male
Emotions,Mariah Carey,r&b,north-american,new jack swing,female
Beside You,Karyn White,r&b,north-american,new jack swing,female
wonderful life (feat. Dani Filth),Bring Me The Horizon,rock,european,hard rock,Group
Pumps and a Bump,MC Hammer,r&b,north-american,new jack swing,male
Outlaw Shit (feat. Waylon Jennings & Yelawolf),Struggle Jennings,rap,north-american,southern hip hop,male
How You Love Me (feat. Conor Maynard & Snoop Dogg),Hardwell,pop,european,electropop,male
Tainted Love,Soft Cell,rock,european,permanent wave,Group
