artist,song_title,gender,ethnicity,lyrics_source,lyric_length,english_word_ratio,needs_translation
Paolo Santos,Take Me,Male,Asia,genius,120,0.975609756097561,0
Mustafa Sandal,Helal Et,Male,Asia,genius,159,0.3836477987421384,1
Ajda Pekkan,Kaderimin Oyunu,Female,Asia,genius,122,0.5801526717557252,1
Lea Salonga,We Could Be In Love,Female,Asia,genius,247,0.9762845849802372,0
Crystal Kay,Shining,Female,Asia,genius,62,0.2096774193548387,1
Sezen Aksu,Pardon,Female,Asia,genius,101,0.4509803921568627,1
Sibel Can,Galata,Female,Asia,genius,153,0.5128205128205128,1
Regine Velasquez,Hinahanap-Hanap Kita,Female,Asia,genius,156,0.5480225988700564,1
Yonca Evcimik,Kendine Gel,Female,Asia,genius,294,0.6209386281588448,1
Olivia,Solarhalfbreed,Female,Asia,genius,61,0.9836065573770492,0
Charice,Before It Explodes,Female,Asia,genius,300,0.984375,0
Nokko,Silver,Female,Asia,genius,116,0.8214285714285714,0
Bonnie Pink,Mint,Female,Asia,genius,170,0.9942196531791908,0
The Idan Raichel Project,Im Tachpetza,Male,Asia,genius,95,0.0531914893617021,1
Yuna,Favourite Thing,Female,Asia,genius,177,0.978494623655914,0
Arijit Singh,Humdard,Male,Asia,genius,183,0.1021505376344086,1
Ziana Zain,Madah Berhelah,Female,Asia,genius,163,0.4417177914110429,1
Keiichi Okabe,Song Of The Ancients / Devola,Male,Asia,genius,63,0.4776119402985074,1
Daniel Padilla,Kumusta Ka,Male,Asia,genius,196,0.7211538461538461,1
Iwan Fals,Sugali,Male,Asia,genius,204,0.5047169811320755,1
Ebiet G. Ade,Kupu-Kupu Kertas,Male,Asia,genius,150,0.4394904458598726,1
Liyana Fizi,Light Writing,Female,Asia,genius,185,0.9844559585492229,0
Siti Nurhaliza,Purnama Merindu,Female,Asia,genius,194,0.4696969696969697,1
Misha Omar,Untukmu Selamanya,Female,Asia,genius,76,0.3815789473684211,1
Cornelius,Brazil,Male,Asia,genius,82,1.0,0
Keiichi Okabe,Song Of The Ancients / Popola,Male,Asia,genius,63,0.4776119402985074,1
Geeta Dutt,Waqt Ne Kiya Kya Haseen Sitam,Female,Asia,genius,151,0.0718954248366013,1
Yonca Evcimik,Dokunuver,Female,Asia,genius,284,0.4014084507042254,1
Aiza Seguerra,If We Try,Female,Asia,genius,292,0.970873786407767,0
Iwan Fals,Ambulan Zig Zag,Male,Asia,genius,205,0.3560975609756097,1
Erdem Yener,Kaybeden,Male,Asia,genius,52,0.5,1
Iwan Fals,Sebelum Kau Bosan,Male,Asia,genius,102,0.4215686274509804,1
Inoran,Raize,Male,Asia,genius,40,0.3095238095238095,1
Keiichi Okabe,The Dark Colossus Destroys All,Male,Asia,genius,73,0.6986301369863014,1
Ariel Rivera,Minamahal Pala Kita,Male,Asia,genius,122,0.6259541984732825,1
Bunga Citra Lestari,Cinta Pertama (Sunny),Female,Asia,genius,130,1.0,0
Tata Young,Lonely In Space,Female,Asia,genius,239,0.981060606060606,0
Leah Dizon,Lost At Sea,Female,Asia,genius,362,0.9690721649484536,0
Tomohisa Yamashita,Baby Baby,Male,Asia,genius,90,0.3152173913043478,1
Sowelu,Glisten,Female,Asia,genius,154,0.7272727272727273,0
Asha Bhosle,Aao Huzoor Tumko,Female,Asia,genius,214,0.0272727272727272,1
Charice,Far As The Sky,Female,Asia,genius,369,0.9635416666666666,0
Ahmet Kaya,Karar Vermek Zor,Male,Asia,genius,80,0.4320987654320987,1
Ogie Alcasid,Bakit Ngayon Ka Lang,Male,Asia,genius,188,0.5276381909547738,1
Tata Young,Dhoom Dhoom,Female,Asia,genius,418,0.777262180974478,0
Gloc-9,Intro Ni Mike Swift,Male,Asia,genius,256,0.627906976744186,1
Sagopa Kajmer,Leyli,Male,Asia,genius,395,0.3772151898734177,1
Ebiet G. Ade,Ayah Aku Mohon Maaf,Male,Asia,genius,172,0.3895348837209302,1
Mustafa Sandal,Neler Neler,Male,Asia,genius,175,0.4644808743169399,1
Ayushmann Khurrana,Pani Da Rang (Male),Male,Asia,genius,278,0.5126353790613718,1
Sowelu,Rainbow,Female,Asia,genius,248,0.7579365079365079,1
Olivia,Mint,Female,Asia,genius,132,1.0,0
Aiza Seguerra,Pagdating Ng Panahon,Female,Asia,genius,201,0.6183574879227053,1
Abra,Gayuma,Male,Asia,genius,785,0.548306148055207,1
Fantastic Plastic Machine,You Must Learn All Night Long,Male,Asia,genius,162,0.9820359281437124,0
Sezen Aksu,Elveda,Female,Asia,genius,208,0.4951923076923077,1
Nujabes,Sea Of Cloud,Male,Asia,genius,9,1.0,0
Lia,"My Soul, Your Beats!",Female,Asia,genius,113,0.575,1
Regine Velasquez,Reason Enough,Female,Asia,genius,292,0.9864864864864864,0
Gackt,Saikai-Story-,Male,Asia,genius,145,0.5517241379310345,1
Gackt,Papa Lapped A Pap Lopped,Male,Asia,genius,157,0.5732484076433121,1
Bonnie Pink,Mad Afternoon,Female,Asia,genius,137,0.9918032786885246,0
Ebiet G. Ade,Mimpi-Mimpi Yang Kandas,Male,Asia,genius,86,0.4269662921348314,1
Gackt,Another World,Male,Asia,genius,153,0.6774193548387096,1
Yasmin Levy,Nani Nani,Female,Asia,genius,61,0.639344262295082,1
Sarah Geronimo,Minsan,Female,Asia,genius,72,0.6052631578947368,1
Gary Valenciano,Letting Go,Male,Asia,genius,263,0.9821428571428572,0
Tomohisa Yamashita,Everybody Up,Male,Asia,genius,397,0.983451536643026,0
Dario Moreno,Brigitte Bardot,Male,Asia,genius,226,0.6694214876033058,1
Erkin Koray,Hay Yam Yam,Male,Asia,genius,291,0.7407407407407407,1
Sowelu,Beautiful Dreamer,Female,Asia,genius,209,0.4736842105263157,1
Ua,TORO,Female,Asia,genius,33,0.1428571428571428,1
DJ Honda,When You Hot You Hot,Male,Asia,genius,544,0.9863713798977852,0
Lia,You Are...,Female,Asia,genius,21,0.238095238095238,1
Kris Dayanti,Belum Juga Datang,Female,Asia,genius,78,0.4102564102564102,1
Love,Nice To Be,Female,Asia,genius,105,0.981981981981982,0
Deniz Seki,Suya Hapsettim,Female,Asia,genius,195,0.4871794871794871,1
Tarkan,Durum Beter,Male,Asia,genius,162,0.3765432098765432,1
Siti Nurhaliza,Cari-Cari,Female,Asia,genius,83,0.2906976744186046,1
Dana International,Language Of Love,Female,Asia,genius,276,0.9676258992805756,0
Iwan Fals,Barang Antik,Male,Asia,genius,167,0.4294117647058823,1
Olivia Ong,Kiss Me,Female,Asia,genius,162,0.9760479041916168,0
Volkan Konak,Rose Marie,Male,Asia,genius,141,0.5850340136054422,1
Gary Valenciano,I Believe,Male,Asia,genius,128,0.9534883720930232,0
Towa Tei,Let Me Know,Male,Asia,genius,87,0.6777777777777778,1
Sarah Geronimo,Before I Let You Go,Female,Asia,genius,379,0.9705882352941176,0
Kokia,Say Hi!!,Female,Asia,genius,230,0.9156118143459916,0
Ajda Pekkan,Dile Kolay,Female,Asia,genius,99,0.4848484848484848,1
Iwan Fals,Timur Tengah I,Male,Asia,genius,183,0.391304347826087,1
Olivia Ong,For Your Babies,Female,Asia,genius,232,0.9757085020242916,0
Mustafa Sandal,Kavrulduk,Male,Asia,genius,51,0.4705882352941176,1
Jolina Magdangal,Bahala Na,Female,Asia,genius,188,0.7066115702479339,1
Crystal Kay,Ex-Boyfriend,Female,Asia,genius,277,0.7142857142857143,1
Love,Car Lights On In The Daytime Blues,Female,Asia,genius,100,0.981651376146789,0
Eef Barzelay,Lose Big,Male,Asia,genius,181,0.9578947368421052,0
Sudirman,Balik Kampung,Male,Asia,genius,161,0.4731182795698925,1
Minmi,STEP,Female,Asia,genius,120,0.5037037037037037,1
Love,August,Female,Asia,genius,83,0.9887640449438202,0
Noa,Today,Female,Asia,genius,363,0.997326203208556,0
Nusrat Fateh Ali Khan,Ali Da Malang,Male,Asia,genius,517,0.688588007736944,1
Asaf Avidan,Conspiratory Visions Of Gomorrah,Male,Asia,genius,200,0.971291866028708,0
Haluk Levent,Yeter Ki,Male,Asia,genius,104,0.5576923076923077,1
Regine Velasquez,Sa Aking Pag-Iisa,Female,Asia,genius,161,0.5248618784530387,1
Charice,Thank You,Female,Asia,genius,359,0.9380053908355797,0
Erik Santos,Here I Am,Male,Asia,genius,200,0.9665071770334928,0
Rafet El Roman,Sorma Neden,Male,Asia,genius,95,0.5368421052631579,1
Hitomi,Blade Runner,Female,Asia,genius,174,0.7175141242937854,1
Kotoko,Blaze,Female,Asia,genius,58,0.2285714285714285,1
Borgore,Turn Around,Male,Asia,genius,365,0.979328165374677,0
Bird,Souls,Female,Asia,genius,38,0.25,1
Iwan Fals,Karena Kau Bunda Kami,Male,Asia,genius,87,0.4651162790697674,1
Tarkan,Gitme,Male,Asia,genius,145,0.4482758620689655,1
Kishore Kumar,Zindagi Ek Safar Hai Suhana,Male,Asia,genius,204,0.1442307692307692,1
Divya Kumar,Jee Karda,Male,Asia,genius,229,0.3815789473684211,1
Nujabes,Music Is Mine,Male,Asia,genius,61,1.0,0
Erkin Koray,Yok Yok,Male,Asia,genius,149,0.6375838926174496,1
Iwan Fals,Lho,Male,Asia,genius,70,0.5,1
Ahmet Kaya,Ah!...,Male,Asia,genius,138,0.3695652173913043,1
Sertab Erener,Oysa,Female,Asia,genius,100,0.31,1
Sezen Aksu,Tutsak,Female,Asia,genius,203,0.4660194174757281,1
Love,Alone Again Or,Female,Asia,genius,142,0.958904109589041,0
Love,Love Is More Than Words (Or Better Late Than Never),Female,Asia,genius,85,0.9772727272727272,0
Kishore Kumar,Pyar Manga Hai Tumhi Se,Male,Asia,genius,176,0.1022727272727272,1
Sertab Erener,Got Me Like Oh,Female,Asia,genius,345,0.994579945799458,0
DJ Honda,International Anthem,Male,Asia,genius,548,0.964041095890411,0
Nina,Saving Forever For You,Female,Asia,genius,293,0.9654088050314464,0
Crystal Kay,Kirakuni,Female,Asia,genius,780,0.960639606396064,0
Sharon Cuneta,How Am I Supposed To Live Without You,Female,Asia,genius,365,0.9588688946015425,0
Christian Bautista,Please Be Careful With My Heart,Male,Asia,genius,306,0.959752321981424,0
Zhu,In The Morning,Male,Asia,genius,177,0.9802955665024632,0
Tomohisa Yamashita,Nextaction,Male,Asia,genius,89,0.1578947368421052,1
Olivia Ong,Stars,Female,Asia,genius,227,0.974025974025974,0
Hide,Bacteria,Male,Asia,genius,232,0.7387755102040816,1
Olivia Ong,I Believe (Chinese),Female,Asia,genius,71,0.2816901408450704,1
Daniel Padilla,Kasama Kang Tumanda,Male,Asia,genius,127,0.583941605839416,1
Bird,Flow,Female,Asia,genius,31,0.1818181818181818,1
Funda Arar,Yak Gel,Female,Asia,genius,202,0.5396039603960396,1
Kahimi Karie,Lolitapop Dollhouse,Female,Asia,genius,294,0.9588607594936708,0
Gackt,Dispar,Male,Asia,genius,103,0.5728155339805825,1
Bonnie Pink,I Just Want You To Be Happy,Female,Asia,genius,245,0.995967741935484,0
Arijit Singh,Jiya,Male,Asia,genius,149,0.1153846153846153,1
Minmi,Another World,Female,Asia,genius,232,0.7296137339055794,1
Ahmet Kaya,Rinna Rinnan Nay,Male,Asia,genius,138,0.4133333333333333,1
Gary Valenciano,Search And Know,Male,Asia,genius,256,0.977859778597786,0
Farhan Akhtar,Tum Ho Toh,Male,Asia,genius,132,0.0454545454545454,1
Sezen Aksu,Kibir,Female,Asia,genius,133,0.437037037037037,1
Lea Salonga,Nandito Ako,Female,Asia,genius,160,0.6607142857142857,1
Sarah Geronimo,Hanggang Kailan,Female,Asia,genius,127,0.4388489208633093,1
Nujabes,Thank You,Male,Asia,genius,688,0.975,0
Nusrat Fateh Ali Khan,The Face Of Love,Male,Asia,genius,172,0.9629629629629628,0
Bonnie Pink,Believe,Female,Asia,genius,212,0.8577777777777778,0
Esther Ofarim,Waking Up,Female,Asia,genius,123,0.953846153846154,0
Lea Salonga,Sa Ugoy Ng Duyan,Female,Asia,genius,144,0.525974025974026,1
Kokia,The Rule Of The Universe,Female,Asia,genius,176,0.988950276243094,0
Ahmet Kaya,Hikayemiz (Bizim),Male,Asia,genius,131,0.366412213740458,1
Christian Bautista,I Could Not Ask For More,Male,Asia,genius,292,0.973941368078176,0
Edip Akbayram,Seni Sevmek,Male,Asia,genius,98,0.4183673469387755,1
Teoman,Mektup,Male,Asia,genius,212,0.5023255813953489,1
Mithoon,Sanam Re,Male,Asia,genius,274,0.1433691756272401,1
Zhu,Paradise Awaits,Male,Asia,genius,492,0.9669260700389104,0
Tata Young,Shine Like A Superstar,Female,Asia,genius,217,0.9638009049773756,0
Siti Nurhaliza,Kurik Kundi,Female,Asia,genius,498,0.503968253968254,1
Yui,Jam,Female,Asia,genius,72,0.5205479452054794,1
Siti Nurhaliza,Kembalikan Indah,Female,Asia,genius,84,0.4302325581395348,1
Ziana Zain,Menadah Gerimis,Female,Asia,genius,100,0.3663366336633663,1
Shankar Mahadevan,Breathless Album Breathless 98,Male,Asia,genius,424,0.4680851063829787,1
Lea Salonga,Please Naman,Female,Asia,genius,223,0.8851063829787233,0
Love,Revelation,Female,Asia,genius,305,0.9936708860759492,0
Iwan Fals,Selamat Tinggal Malam,Male,Asia,genius,143,0.4444444444444444,1
Hitomi,My Planet,Female,Asia,genius,141,0.539568345323741,1
Rie Fu,Life Is Like A Boat,Female,Asia,genius,235,0.8744769874476988,0
Crystal Kay,Motherland,Female,Asia,genius,47,0.1428571428571428,1
Corrinne May,On My Way,Female,Asia,genius,241,0.9773584905660376,0
Deniz Seki,Ey Kalbim,Female,Asia,genius,146,0.5,1
Sibel Can,Gurur,Female,Asia,genius,52,0.4038461538461538,1
Liyana Fizi,Last Notice,Female,Asia,genius,101,0.954954954954955,0
Kotoko,Belvedia,Female,Asia,genius,43,0.0888888888888888,1
Iwan Fals,Lagu Enam,Male,Asia,genius,149,0.4679487179487179,1
Gackt,Ash,Male,Asia,genius,117,0.5726495726495726,1
Tata Young,I Want What I Want,Female,Asia,genius,296,0.9935275080906149,0
Iwan Fals,Besar Dan Kecil,Male,Asia,genius,154,0.3439490445859872,1
Yoji Biomehanika,Samurai,Male,Asia,genius,13,1.0,0
Liyana Fizi,Only One,Female,Asia,genius,100,0.9904761904761904,0
Iwan Fals,Ada,Male,Asia,genius,152,0.7483443708609272,1
Lea Salonga,Love Look Away,Female,Asia,genius,93,1.0,0
Jyongri,Lullaby For You,Female,Asia,genius,276,0.9859649122807016,0
Iwan Fals,14-4-84,Male,Asia,genius,119,0.4146341463414634,1
Siti Nurhaliza,Kau Ku Sayang,Female,Asia,genius,62,0.5396825396825397,1
Nev,Bu Gece,Male,Asia,genius,251,0.5298804780876494,1
DJ Honda,Fuk Dat,Male,Asia,genius,419,0.9666666666666668,0
Gackt,Ares,Male,Asia,genius,200,0.8088235294117647,1
Ua,Horizon,Female,Asia,genius,27,0.1724137931034483,1
Dana International,Free,Female,Asia,genius,172,0.9722222222222222,0
Nil Karaibrahimgil,Seviyorum Sevmiyorum,Female,Asia,genius,176,0.6702127659574468,1
Olivia Ong,Driving,Female,Asia,genius,149,0.9235668789808916,0
Dhanush,Why This Kolaveri Di,Male,Asia,genius,201,0.7835497835497836,0
Hadise,Stir Me Up,Female,Asia,genius,550,0.9217391304347826,0
Iwan Fals,Surat Buat Wakil Rakyat,Male,Asia,genius,228,0.3903508771929824,1
Nil Karaibrahimgil,Nesi Var?,Female,Asia,genius,211,0.4312796208530806,1
Kotoko,Bright Wings,Female,Asia,genius,50,0.12,1
Zee Avi,Honey Bee,Female,Asia,genius,252,0.9409722222222222,0
Yasmin Levy,Una Pastora,Female,Asia,genius,131,0.6717557251908397,1
Crystal Kay,&Brand-New,Female,Asia,genius,105,0.5909090909090909,1
Zeebra,Golden Mic(Remix),Male,Asia,genius,356,0.2936507936507936,1
A. R. Rahman,Dheeme Dheeme,Male,Asia,genius,241,0.0194552529182879,1
Esther Ofarim,Pizmon Layakinton,Female,Asia,genius,114,0.0695652173913043,1
Crystal Kay,Love Or Game,Female,Asia,genius,164,0.6827956989247311,1
Deniz Seki,Sen Bensiz Ben Sensiz,Female,Asia,genius,202,0.3543689320388349,1
Daliah Lavi,Meine Art Liebe Zu Zeigen,Female,Asia,genius,155,0.6580645161290323,1
Crystal Kay,Lonely Girl,Female,Asia,genius,143,0.4125874125874126,1
Nina,I Need Your Love,Female,Asia,genius,176,0.9944444444444444,0
Rie Fu,Dreams Be,Female,Asia,genius,211,0.9776785714285714,0
Love,My Flash On You,Female,Asia,genius,179,0.9792746113989638,0
Crystal Kay,One,Female,Asia,genius,108,0.7619047619047619,1
Nil Karaibrahimgil,Kazablanka,Female,Asia,genius,143,0.436241610738255,1
Ajda Pekkan,Sen Ve Ben,Female,Asia,genius,78,0.5128205128205128,1
Anuar Zain,Jangan Bersedih Lagi,Male,Asia,genius,78,0.4936708860759494,1
Erkin Koray,Hop Hop Gelsin,Male,Asia,genius,133,0.5714285714285714,1
Gary Valenciano,'di Bale Na Lang,Male,Asia,genius,268,0.6066176470588235,1
Olivia,My Daddy,Female,Asia,genius,615,0.9924585218702866,0
Eterne Rima,Por La Rep',Male,Asia,genius,464,0.5751633986928104,1
AI,California,Female,Asia,genius,198,0.784688995215311,1
Corrinne May,24 Hours,Female,Asia,genius,292,0.9839743589743588,0
Ziana Zain,Putus Terpaksa,Female,Asia,genius,128,0.5196850393700787,1
Borgore,Cry Me A River,Male,Asia,genius,226,0.9782608695652174,0
Teoman,Tuzak,Male,Asia,genius,104,0.6153846153846154,1
Olivia Ong,Only With You,Female,Asia,genius,248,0.9880478087649402,0
Asaf Avidan,Thumbtacks In My Marrow,Male,Asia,genius,124,0.9921875,0
Kishore Kumar,Dil Kya Kare,Male,Asia,genius,292,0.0966666666666666,1
Hitomi,UNDER THE SUN,Female,Asia,genius,161,0.55,1
Tarkan,Pare Pare,Male,Asia,genius,165,0.4606060606060606,1
Nina,Heaven,Female,Asia,genius,274,0.9789473684210528,0
Misha Omar,Riwayat Cinta,Female,Asia,genius,99,0.3838383838383838,1
Miyavi,Senor Senora Senorita,Male,Asia,genius,281,0.6267123287671232,1
Ua,Horizon,Female,Asia,genius,27,0.1724137931034483,1
Iwan Fals,Intro,Male,Asia,genius,51,0.58,1
A. R. Rahman,Tu Hi Re,Male,Asia,genius,354,0.0169491525423728,1
Bonnie Pink,Surprise!,Female,Asia,genius,153,0.5844155844155844,1
Mustafa Sandal,Karizma,Male,Asia,genius,93,0.4623655913978494,1
Iwan Fals,Hura Hura Huru Hara,Male,Asia,genius,143,0.3905325443786982,1
Chihiro,Only U,Female,Asia,genius,125,0.366412213740458,1
Iwan Fals,Timur Tengah II,Male,Asia,genius,148,0.54,1
Crystal Kay,Move On,Female,Asia,genius,83,0.3103448275862069,1
Hitomi,Plain,Female,Asia,genius,67,0.2318840579710145,1
Anuar Zain,Rindu Belaian,Male,Asia,genius,97,0.5408163265306123,1
The Idan Raichel Project,Haer Et Einav,Male,Asia,genius,86,0.0813953488372093,1
Olivia,Silly Bitch In Love,Female,Asia,genius,296,0.9548387096774194,0
Kahimi Karie,Tornado (Inside),Female,Asia,genius,74,1.0,0
Hitomi,Understanding,Female,Asia,genius,170,0.592814371257485,1
Shaan,Jab Se Tere Naina,Male,Asia,genius,270,0.0732600732600732,1
Esther Ofarim,Bird On The Wire,Female,Asia,genius,187,1.0,0
Lea Salonga,Sa Ugoy NG Duyan,Female,Asia,genius,144,0.525974025974026,1
Daniel Padilla,Ipagpatawad Mo,Male,Asia,genius,143,0.5369127516778524,1
Ajda Pekkan,Senden Uzakta,Female,Asia,genius,69,0.5072463768115942,1
Regine Velasquez,Tonight,Female,Asia,genius,193,0.9796954314720812,0
Nina,Sayang Naman,Female,Asia,genius,183,0.5052083333333334,1
Gary Valenciano,Growing Up,Male,Asia,genius,167,0.9661016949152542,0
Ankit Tiwari,Sunn Raha Hai,Male,Asia,genius,275,0.1075268817204301,1
Crystal Kay,Take It Outside,Female,Asia,genius,97,0.5555555555555556,1
Leah Dizon,Love Paradox,Female,Asia,genius,555,0.8598290598290599,0
Noa,Too Painful,Female,Asia,genius,199,0.9903846153846154,0
Regine Velasquez,Know It,Female,Asia,genius,304,0.9628482972136224,0
Kylee,NEVER GIVE UP!,Female,Asia,genius,343,0.782991202346041,1
Shreya Ghoshal,Nagada Sang Dhol,Female,Asia,genius,410,0.0809523809523809,1
Freddie Aguilar,Kinabukasan,Male,Asia,genius,91,0.6043956043956044,1
