song_title,artist,language,musical_genre,ethnicity,musical_subgenre,gender,lyric_length,needs_translation
Girlfriend in a Coma - 2011 Remaster,The Smiths,en,rock,european,permanent wave,Group,134,0
Did It Again,Lil Tecca,en,rap,north-american,trap,male,330,0
I'll Be All You'll Ever Need,Trinere,en,latin,north-american,latin hip hop,female,172,0
Talk Dirty To Me,Poison,en,rock,north-american,classic rock,Group,536,0
Goodbye Love,Guy,en,r&b,north-american,new jack swing,Group,366,0
Morph,Twenty One Pilots,en,pop,north-american,electropop,Group,437,0
50 Vezes - Ao Vivo,Sorriso Maroto,pt,edm,latino,pop edm,Group,277,1
Always Gonna Say Sorry,Joakim Molitor,en,edm,european,pop edm,male,262,0
SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta),Marracash,it,rap,european,trap,male,466,1
Cheerleader - Felix Jaehn Remix Radio Edit,OMI,en,latin,latino,latin hip hop,male,429,0
Why Don't You Get A Job,The Offspring,en,rock,north-american,permanent wave,Group,321,0
Heartless (feat. Mustard),Polo G,en,r&b,north-american,urban contemporary,male,535,0
Say My Name,Lil Yachty,en,rap,north-american,hip hop,male,472,0
Paint My Love - 2014 Remastered Version,Michael Learns To Rock,en,rock,european,album rock,Group,185,0
Hi Life,UGK,en,rap,north-american,southern hip hop,Group,803,0
It Runs Through Me,Tom Misch,en,pop,european,indie poptimism,male,1150,0
Nothing Really Matters - Afrojack Remix,Mr. Probz,en,edm,european,pop edm,male,254,0
Who Are You,The Who,en,rock,european,classic rock,Group,552,0
I Want You To Want Me,Cheap Trick,en,rock,north-american,classic rock,Group,254,0
I Heard It Through The Grapevine - Single Version,Creedence Clearwater Revival,en,rock,north-american,hard rock,Group,283,0
Without You - Remastered,Harry Nilsson,en,r&b,north-american,urban contemporary,male,175,0
Raise Up,Petey Pablo,en,rap,north-american,southern hip hop,male,796,0
Get the Party Started,P!nk,en,pop,north-american,post-teen pop,female,291,0
Stray Lines,Mishaal,en,edm,arabic,pop edm,male,280,0
Paloma Negra,Chavela Vargas,es,r&b,north-american,urban contemporary,female,141,1
On Fire,Carmada,en,pop,oceania,indie poptimism,Group,196,0
Tequila,Juanes,es,latin,latino,latin pop,male,502,1
Who Needs You - Remastered 2011,Queen,en,rock,european,album rock,Group,225,0
2025-11-07 00:00:00,Beyoncé,en,pop,north-american,electropop,female,2244,0
Getting Away With Murder,Papa Roach,en,rock,north-american,hard rock,Group,244,0
Smile - Years Remix,Galantis,en,edm,european,progressive electro house,Group,140,0
My Nigga,YG,en,pop,north-american,post-teen pop,male,712,0
Unity,Dimitri Vegas & Like Mike,en,edm,european,electro house,Group,426,0
pete davidson,Ariana Grande,en,pop,north-american,post-teen pop,female,125,0
This Is How We Party (with Icona Pop),R3HAB,en,edm,european,progressive electro house,male,244,0
Tokyo,Lianne La Havas,en,r&b,european,neo soul,female,205,0
Go to Hell,Alice Cooper,en,rock,north-american,hard rock,male,145,0
Paparazzi,Lady Gaga,en,pop,north-american,post-teen pop,female,319,0
Jet Airliner - Remastered 2017,Steve Miller Band,en,rock,north-american,classic rock,Group,325,0
Say It,Flume,en,rap,oceania,trap,male,411,0
Faith - Radio Edit,Blasterjaxx,en,edm,european,progressive electro house,Group,102,0
Where I Won't Be Found,Seven Lions,en,edm,north-american,pop edm,male,183,0
Go Getta,Jeezy,en,rap,north-american,southern hip hop,male,664,0
Slow Motion,Color Me Badd,en,r&b,north-american,new jack swing,Group,380,0
In Between,Beartooth,en,rock,north-american,hard rock,Group,378,0
Watch Me Dance,Tom Misch,en,r&b,european,neo soul,male,273,0
Baila Conmigo,Manuel Turizo,es,latin,latino,reggaeton,male,317,1
California,DJ Quik,en,rap,north-american,southern hip hop,male,525,0
Switch,Afrojack,en,pop,european,dance pop,male,258,0
How Ya Like Me Now - Longer Version,Kool Moe Dee,en,r&b,north-american,new jack swing,male,726,0
No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,en,rap,north-american,hip hop,male,1578,0
CAN YOU HEAR ME NOW?,Bishop Briggs,en,rock,european,permanent wave,female,366,0
Encanto,Don Omar,es,latin,north-american,reggaeton,male,350,1
Cemetry Gates - 2011 Remaster,The Smiths,en,rock,european,permanent wave,Group,268,0
I Don't Wanna,Aaliyah,en,r&b,north-american,new jack swing,female,506,0
Die To Live,Volbeat,en,rock,european,permanent wave,Group,345,0
The Air Near My Fingers,The White Stripes,en,rock,north-american,classic rock,Group,320,0
Only for the Weak,In Flames,en,rock,european,hard rock,Group,250,0
First World Problemz / Nobody Carez,Brent Faiyaz,en,r&b,north-american,neo soul,male,552,0
I Can't Wait,Nu Shooz,en,rock,north-american,album rock,Group,219,0
Fake Plastic Trees,Radiohead,en,rock,european,permanent wave,Group,167,0
Marvins Room,Drake,en,r&b,north-american,urban contemporary,male,557,0
Beautiful Trauma - MOTi Remix,P!nk,en,edm,north-american,pop edm,female,403,0
Centuries,Fall Out Boy,en,pop,north-american,post-teen pop,Group,662,0
Dancewitme,Maxwell,en,r&b,north-american,neo soul,male,181,0
Grateful (Neon Feather Remix),Cade Thompson,en,pop,north-american,dance pop,male,245,0
Congratulations - Don Diablo VIP Mix,Don Diablo,en,edm,european,electro house,male,264,0
"Wow, I'm Not Crazy",AJR,en,pop,north-american,indie poptimism,Group,311,0
Where Angels Fear To Tread - Single Version,Mustasch,en,rock,european,hard rock,Group,216,0
Northern Sky (feat. Kb),Capital Kings,en,edm,north-american,progressive electro house,Group,420,0
Jungli Sher,DIVINE,id,rap,north-american,hip hop,male,438,1
No Rest for the Wicked - Robin Schulz Remix Edit,Lykke Li,en,pop,european,indie poptimism,female,185,0
April Showers,Proleter,en,edm,european,electro house,male,107,0
Hot In Herre,Nelly,en,rap,north-american,southern hip hop,male,1512,0
Rearranged,Killstation,en,rap,north-american,gangster rap,male,138,0
No Stylist,French Montana,en,rap,north-american,hip hop,male,1104,0
Ocean Drive - Michael Calfan Remix,Duke Dumont,en,edm,european,pop edm,male,359,0
Da Graveyard,Big L,en,rap,north-american,gangster rap,male,1103,0
Bored,Billie Eilish,en,r&b,north-american,urban contemporary,female,281,0
This World Is Sick,IC3PEAK,en,rap,european,gangster rap,Group,226,0
Nevermore - Remastered 2011,Queen,en,rock,european,album rock,Group,108,0
Certainly - Flipped It,Erykah Badu,en,r&b,north-american,new jack swing,female,316,0
Don't You Want Me,Jody Watley,en,r&b,north-american,new jack swing,female,349,0
I'm a Mess,Bebe Rexha,en,pop,north-american,post-teen pop,female,1011,0
Ready Set (feat. Big Sean),Kash Doll,en,rap,north-american,hip hop,female,420,0
I See Your Smile,Gloria Estefan,en,latin,north-american,latin pop,female,253,0
Motownphilly,Boyz II Men,en,r&b,north-american,new jack swing,Group,461,0
Te Vi,Piso 21,es,latin,latino,latin pop,Group,494,1
Goodness Gracious - The Chainsmokers Extended Remix,Ellie Goulding,en,edm,european,progressive electro house,female,352,0
Call You Mine,The Chainsmokers,en,pop,north-american,dance pop,Group,1320,0
Untouchable,Tritonal,en,edm,north-american,pop edm,Group,168,0
Déjame Volar,Aleman,es,rap,european,gangster rap,Person,494,1
Feel Me (feat. Kanye West),Tyga,en,rap,north-american,gangster rap,male,510,0
Andar Conmigo,Julieta Venegas,es,latin,north-american,latin pop,female,198,1
"Camelot (feat. Yo Gotti, BlocBoy JB & Moneybagg Yo) - Remix",NLE Choppa,en,rap,north-american,hip hop,male,517,0
Nothin' But The Cavi Hit,Mack 10,en,rap,north-american,gangster rap,male,691,0
Alladat,Jarren Benton,en,r&b,north-american,urban contemporary,male,573,0
Howling,RY X,en,pop,oceania,indie poptimism,male,137,0
48H (feat. Sfera Ebbasta),Izi,it,rap,european,trap,male,397,1
Hard To Handle,The Black Crowes,en,rock,north-american,classic rock,Group,335,0
Rhiannon,Fleetwood Mac,en,rock,european,classic rock,Group,243,0
"If You Leave - From ""Pretty In Pink""",Orchestral Manoeuvres In The Dark,en,rock,european,permanent wave,Group,238,0
Forget,Twin Shadow,en,pop,north-american,electropop,male,137,0
Make Me Feel Better - Klingande Remix,Alex Adair,no,latin,european,tropical,male,164,0
I Adore Mi Amor,Color Me Badd,en,r&b,north-american,new jack swing,Group,311,0
Panama - 2015 Remaster,Van Halen,en,rock,north-american,classic rock,Group,314,0
It's Goin' Down (feat. Nitti),Yung Joc,en,rap,north-american,hip hop,male,1296,0
Ich Binnezz,Bonez MC,de,rap,european,gangster rap,male,454,1
Middle Of The Night,MJG,en,rap,north-american,southern hip hop,male,892,0
Bring It On,Geto Boys,en,rap,north-american,southern hip hop,Group,1689,0
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,en,edm,european,pop edm,female,357,0
I Go Blind,Hootie & The Blowfish,en,rock,north-american,classic rock,Group,273,0
Miss You Much,Janet Jackson,en,r&b,north-american,new jack swing,female,433,0
Let Your Love Flow,The Bellamy Brothers,en,rock,north-american,classic rock,Group,327,0
Let It Happen,Tame Impala,en,pop,oceania,electropop,male,264,0
Best Life,Danny Brown,en,r&b,north-american,hip pop,male,442,0
Talk - Alle Farben Remix,Khalid,en,pop,north-american,dance pop,male,538,0
Bad (feat. Vassy) - Radio Edit,David Guetta,en,edm,european,big room,male,141,0
The Way,Ariana Grande,en,pop,north-american,post-teen pop,female,729,0
Headlights (feat. Ilsey),Robin Schulz,en,pop,european,electropop,male,190,0
Golden Years - M-Phazes Remix,Ruel,en,pop,oceania,indie poptimism,male,233,0
Ride Wit Me,Nelly,en,rap,north-american,hip hop,male,2096,0
Tunnel of Love (Intro: The Carousel Waltz),Dire Straits,en,rock,european,classic rock,Group,364,0
We Don't Talk Anymore,Charlie Puth,en,pop,north-american,electropop,male,1425,0
Russian Radio,Red Flag,en,rock,north-american,permanent wave,Group,248,0
MIDDLE OF THE NIGHT,Monsta X,en,pop,asian,dance pop,Group,448,0
Safari,J Balvin,es,latin,latino,latin hip hop,male,519,1
"i hate u, i love u (feat. olivia o'brien) - Deepend Remix",gnash,en,edm,north-american,pop edm,male,574,0
Sektion (feat. Branco & Gilli),Benny Jamz,da,rap,european,hip hop,male,560,1
Bon Bon Chocolat,EVERGLOW,ko,pop,asian,dance pop,Group,480,1
Shotgun - Quintino Remix,Yellow Claw,en,edm,european,electro house,Group,524,0
Drew Barrymore,SZA,en,r&b,north-american,urban contemporary,female,404,0
In Only Seven Days - Remastered 2011,Queen,en,rock,european,album rock,Group,129,0
Fire Fly,Childish Gambino,en,r&b,north-american,neo soul,male,646,0
Adrenalize,In This Moment,en,rock,north-american,hard rock,Group,336,0
Poison,Bell Biv DeVoe,en,r&b,north-american,new jack swing,Group,427,0
You Really Got Me - 2004 Remaster,Van Halen,en,rock,north-american,hard rock,Group,231,0
Peachy Keen,L Devine,en,pop,european,post-teen pop,female,206,0
Trenches,Pop Evil,en,rock,north-american,hard rock,Group,270,0
Liar,Camila Cabello,en,pop,north-american,post-teen pop,female,408,0
Safety (feat. DJ Snake) - Dark Heart Burn Mix,GASHI,en,edm,north-american,pop edm,male,278,0
The Whole World (feat. Killer Mike),OutKast,en,rap,north-american,southern hip hop,Group,829,0
Guardia Civil,Reda Rwena,de,rap,european,gangster rap,male,613,1
Calabria - Firebeatz Remix,Rune RK,en,edm,european,electro house,male,1292,0
Best Rapper Alive,Lil Wayne,en,rap,north-american,southern hip hop,male,655,0
Always on My Mind,Pet Shop Boys,en,pop,european,electropop,Group,506,0
Magenta (prod. Auer),Pezet,pl,rap,european,hip hop,male,522,1
Fortunate Son,Creedence Clearwater Revival,en,rock,north-american,classic rock,Group,225,0
Chillax,Alkilados,es,latin,latino,latin pop,Group,457,1
Sleepy Eyes,Elohim,en,rap,north-american,trap,female,244,0
In Between Days - 2006 Remaster,The Cure,en,rock,european,permanent wave,Group,163,0
Got To Get It,Sisqo,en,r&b,north-american,new jack swing,male,475,0
Inocente,Myke Towers,es,latin,north-american,reggaeton,male,494,1
I Wanna Sex You Up,Color Me Badd,en,r&b,north-american,new jack swing,Group,379,0
Million Years,Gareth Emery,en,edm,european,progressive electro house,male,236,0
Make Believe,Kenny Lattimore,en,r&b,north-american,neo soul,male,316,0
Go Your Own Way - 2004 Remaster,Fleetwood Mac,en,rock,european,classic rock,Group,187,0
Drop In the Ocean,OMI,en,latin,latino,latin hip hop,male,315,0
The Second Brightest Star,Big Big Train,en,rock,european,album rock,Group,149,0
Summer on You,PRETTYMUCH,en,r&b,north-american,hip pop,Group,517,0
Living in Oblivion,Anything Box,en,rock,north-american,permanent wave,Group,307,0
Dream On,Aerosmith,en,rock,north-american,classic rock,Group,534,0
High Fashion (feat. Mustard),Roddy Ricch,en,rap,north-american,hip hop,male,663,0
22,TINI,es,latin,latino,latin pop,female,341,1
Good as Hell (feat. Ariana Grande) - Remix,Lizzo,en,pop,north-american,post-teen pop,female,1588,0
Nasty,Janet Jackson,en,rock,north-american,album rock,female,562,0
Siempre Peligroso (feat. Fermin IV Caballero) - feat. Fermin IV Caballero of Control Machete,Cypress Hill,es,rap,north-american,gangster rap,Group,541,1
I Was Made For Lovin' You,KISS,en,rock,north-american,classic rock,Group,333,0
Own It (feat. Ed Sheeran & Burna Boy),Stormzy,en,rap,european,hip hop,male,1100,0
Dr. Beat,Gloria Estefan,en,latin,north-american,latin pop,female,358,0
Busy Earnin',Jungle,en,pop,european,dance pop,Group,306,0
Cupid Shuffle,Cupid,en,rap,north-american,southern hip hop,male,1696,0
Por Contarle Los Secretos,Jon Z,es,rap,north-american,trap,male,1340,1
Beast Of Burden - Remastered,The Rolling Stones,en,rock,european,album rock,Group,588,0
Drown,Theory of a Deadman,en,rock,north-american,hard rock,Group,225,0
Not Backing Down,Blanca,en,edm,north-american,progressive electro house,female,396,0
Get Free (feat. Amber Coffman),Major Lazer,en,pop,latino,post-teen pop,Group,329,0
Why'd You Only Call Me When You're High?,Arctic Monkeys,en,rock,european,permanent wave,Group,287,0
Hello Hello,Fickle Friends,en,pop,european,indie poptimism,Group,288,0
Dare You - Radio Edit,Hardwell,en,edm,european,big room,male,159,0
Real Eyes,Fili,en,pop,north-american,indie poptimism,Person,232,0
FRIENDS,Marshmello,en,pop,north-american,electropop,male,1464,0
All Day All Night,Bobby Brown,en,r&b,north-american,new jack swing,male,444,0
Celebration (feat. Ky-Mani Marley),Maffio,en,latin,latino,tropical,male,483,1
Ready for Love - 2015 Remaster,Bad Company,en,rock,european,album rock,Group,191,0
Good Nights (feat. Mascolo),Whethan,en,pop,north-american,indie poptimism,male,329,0
Where Do We Go,Solange,en,r&b,north-american,urban contemporary,female,197,0
Back In Black,AC/DC,en,pop,oceania,post-teen pop,Group,888,0
Little Lies,Fleetwood Mac,en,rock,european,classic rock,Group,274,0
Urgent,Foreigner,en,rock,north-american,classic rock,Group,258,0
California,Delinquent Habits,en,latin,north-american,latin hip hop,Group,592,0
Say It's Gonna Rain,Will To Power,en,latin,north-american,latin hip hop,Group,343,0
Million Pieces - M-22 Remix,Bastille,en,pop,european,dance pop,Group,358,0
Triste,Kase.O,es,r&b,european,urban contemporary,male,299,1
The Hunted (feat. Sully Erna),Saint Asonia,en,rock,north-american,hard rock,Group,210,0
I Follow Rivers,Lykke Li,en,pop,european,indie poptimism,female,242,0
She's Long Gone,The Black Keys,en,rap,north-american,southern hip hop,Group,101,0
All In My Head,Tori Kelly,en,r&b,north-american,urban contemporary,female,258,0
Sorry,Justin Bieber,en,pop,north-american,dance pop,male,1304,0
Sleep Talking,Charlotte Lawrence,en,pop,north-american,indie poptimism,female,473,0
Nudies,24hrs,en,rap,north-american,trap,male,375,0
Can't C Me,2Pac,en,rap,north-american,gangster rap,male,772,0
Let Me Roll It - Remastered 2010,Paul McCartney,en,rock,european,album rock,male,186,0
You're Makin' Me High,Toni Braxton,en,r&b,north-american,new jack swing,female,257,0
Ella Me Cautivo,J Balvin,es,latin,latino,reggaeton,male,588,1
The Middle,Zedd,en,pop,european,dance pop,male,2154,0
News For You,Eric Benét,en,r&b,north-american,neo soul,male,425,0
Oye,TINI,es,latin,latino,latin pop,female,626,1
Dragostea Din Tei - Original Romanian Version,O-Zone,ro,pop,european,dance pop,Group,378,1
Champion,Fall Out Boy,en,r&b,north-american,hip pop,Group,402,0
This Is The Shack,Warren G,en,rap,north-american,southern hip hop,male,643,0
In Da Club,50 Cent,en,rap,north-american,gangster rap,male,707,0
Outta My Head (with John Mayer),Khalid,en,latin,north-american,latin pop,male,1444,0
Point of No Return,Nu Shooz,en,latin,north-american,latin hip hop,Group,191,0
Pedro Navaja,Rubén Blades,es,latin,latino,latin hip hop,male,652,1
Icky Thump,The White Stripes,en,rock,north-american,permanent wave,Group,200,0
Come With Me,Shai,en,r&b,north-american,new jack swing,Group,167,0
Papaoutai,Stromae,fr,rap,european,southern hip hop,male,439,1
UP THE SMOKE (with Offset),Stunna 4 Vegas,en,rap,north-american,hip hop,male,807,0
Into You (feat. Tamia) - Radio Edit,Fabolous,en,r&b,north-american,hip pop,male,653,0
Melaza,Tiro De Gracia,es,latin,latino,latin hip hop,Group,509,1
Tus Ojos No Me Ven - feat. Joewell y Randy,Joey Montana,es,latin,latino,latin pop,male,428,1
Los Olores de Tu Alma,Javiera Mena,es,pop,latino,electropop,female,273,1
Don't Kill My High,Lost Kings,en,pop,north-american,electropop,Group,996,0
Side To Side - Slushii Remix,Ariana Grande,en,edm,north-american,pop edm,female,509,0
Return To Love,Andrea Bocelli,en,r&b,european,hip pop,male,181,0
Heart Of Glass - Special Mix,Blondie,en,rock,north-american,permanent wave,Group,241,0
Whipping Post,The Allman Brothers Band,en,rock,north-american,classic rock,Group,180,0
Moonlight,Gaullin,en,pop,european,dance pop,male,487,0
Good Looking,Don Omar,es,latin,north-american,reggaeton,male,1232,1
This Is Why I'm Hot,MiMS,en,rap,north-american,southern hip hop,Person,832,0
More,Zion,es,latin,north-american,reggaeton,male,400,1
Getaway,Tritonal,en,edm,north-american,pop edm,Group,257,0
Digging My Own Grave,Escape the Fate,en,rock,north-american,hard rock,Group,248,0
Los Angeles Times,Xzibit,en,rap,north-american,southern hip hop,male,910,0
Love Like Mine,Miami Horror,en,pop,oceania,indie poptimism,Group,423,0
Ronca,Don Omar,es,latin,north-american,reggaeton,male,552,1
Get It On Tonite,Montell Jordan,en,r&b,north-american,hip pop,male,297,0
Boy I've Been Told,Safire,en,latin,oceania,latin hip hop,male,247,0
Ain't My Fault,Zara Larsson,en,pop,european,indie poptimism,female,582,0
Far Away,Nickelback,en,rock,north-american,permanent wave,Group,293,0
The Kids Are Alright - Mono/Stereo Version,The Who,en,rock,european,classic rock,Group,203,0
Shakin' Off The Rust,The Blue Stones,en,rock,north-american,hard rock,Group,314,0
Dancing On Glass,St. Lucia,en,pop,european,indie poptimism,male,241,0
Galway Girl,Ed Sheeran,en,pop,european,electropop,male,490,0
Free (feat. T-Jay),GAWVI,en,edm,north-american,progressive electro house,male,398,0
Freak Like Me,Halestorm,en,rock,north-american,hard rock,Group,366,0
Vice Grip,Parkway Drive,en,rock,oceania,hard rock,Group,264,0
Show Me Love,Robin Schulz,en,pop,european,indie poptimism,male,294,0
If I Lose Myself - Alesso vs OneRepublic,OneRepublic,en,edm,north-american,progressive electro house,Group,230,0
Him Or Me - Edit Version,Today,en,r&b,north-american,new jack swing,Group,478,0
Love Scars,Trippie Redd,en,rap,north-american,trap,male,269,0
Stairway To Heaven,Led Zeppelin,en,rock,european,classic rock,Group,348,0
Severed,The Decemberists,en,pop,north-american,electropop,Group,160,0
Don't Wanna Know,Maroon 5,en,pop,north-american,electropop,Group,2384,0
Storm (feat. Kyra Mastro),Famba,en,edm,north-american,electro house,male,305,0
Prettiest Virgin (Radio Edit),Agar Agar,en,pop,european,indie poptimism,Group,424,0
Fuentes de Ortiz,Ed Maverick,es,latin,north-american,latin pop,male,206,1
Cold Ain't For Me,Oceans,en,pop,european,indie poptimism,Group,290,0
Schreibe mein Schicksal,Haze,de,rap,european,gangster rap,Group,670,1
WANT,TAEMIN,ko,pop,asian,dance pop,male,254,1
Suave (Remix),El Alfa,es,latin,latino,latin hip hop,male,415,1
The Bottle,Hermano,en,rap,north-american,southern hip hop,Group,137,0
Who's Got Your Love - Mike Williams Remix,Cheat Codes,en,edm,north-american,progressive electro house,Group,208,0
Without Love,Nikka Costa,en,r&b,north-american,neo soul,female,279,0
Conquista,Jerau,es,latin,latino,latin pop,male,233,1
Take Me to Church,Hozier,en,pop,european,post-teen pop,male,834,0
Grillz - Dirty,Nelly,en,rap,north-american,southern hip hop,male,849,0
So Good (feat. Raekwon),Davina,en,r&b,north-american,new jack swing,female,329,0
Seppuku (feat. Suicideboy$ & Jgrxxn),Ghostemane,en,rap,north-american,gangster rap,male,457,0
Belief - Acoustic,John Mayer,en,latin,north-american,latin pop,male,257,0
Dilemma,Nelly,en,rap,north-american,southern hip hop,male,1498,0
When Can I See You,Babyface,en,r&b,north-american,new jack swing,male,225,0
Fortunate,Maxwell,en,r&b,north-american,neo soul,male,165,0
Bonita,J Balvin,es,latin,latino,reggaeton,male,996,1
Dag 1,Gilli,da,rap,european,hip hop,male,740,1
Your Peace (feat. Lil Baby),Jacquees,en,r&b,north-american,neo soul,male,487,0
Blood // Water,grandson,en,pop,north-american,electropop,male,316,0
A las Cosas por Su Nombre,Violadores Del Verso,es,latin,european,latin hip hop,Group,816,1
Shame,Freddie Gibbs,en,r&b,north-american,neo soul,male,618,0
Light Up the Sky,Thousand Foot Krutch,en,rock,north-american,hard rock,Group,398,0
Too Late,NIMMO,en,pop,european,indie poptimism,Group,332,0
My Death,Scott Walker,en,rock,european,permanent wave,male,268,0
All The Way,Timeflies,en,edm,north-american,progressive electro house,Group,227,0
Everybody Wants To Rule The World - Extended Version,Tears For Fears,en,pop,european,electropop,Group,161,0
I Saw the Light,Todd Rundgren,en,rock,north-american,classic rock,male,244,0
Cruel (feat. ZAYN),Snakehips,en,pop,european,indie poptimism,Group,259,0
Mafo,Naira Marley,en,latin,european,latin pop,male,439,0
They Don't Know,Jon B.,en,r&b,north-american,urban contemporary,male,1551,0
Setting Fires,The Chainsmokers,en,edm,north-american,pop edm,Group,318,0
Money Longer,Lil Uzi Vert,en,rap,north-american,gangster rap,non-binary,457,0
King Harvest (Has Surely Come) - Alternate Take/Remastered,The Band,en,rock,north-american,classic rock,Group,299,0
This Is America,Childish Gambino,en,pop,north-american,post-teen pop,male,1224,0
Seele,Azet,de,rap,european,hip hop,male,350,1
Sincera,Fred De Palma,it,latin,european,latin hip hop,male,376,1
A Donde,Sentidos Opuestos,es,pop,north-american,electropop,Group,116,1
In My Feelings,Drake,en,r&b,north-american,hip pop,male,581,0
Backyard Boogie,Mack 10,en,rap,north-american,southern hip hop,male,565,0
We Sink,Of Monsters and Men,en,pop,european,indie poptimism,Group,251,0
Falling Down,Pallas,en,rock,european,album rock,Group,146,0
Estamos Arriba,Bad Bunny,es,rap,north-american,trap,male,1186,1
Clocks,Coldplay,en,pop,european,electropop,Group,166,0
Let The Beat Build,Lil Wayne,en,rap,north-american,hip hop,male,1584,0
Dynamite - Original Mix,Quintino,en,edm,european,electro house,male,286,0
Hooka,Don Omar,es,latin,north-american,reggaeton,male,1314,1
Song For You,Rhye,en,pop,north-american,indie poptimism,Group,193,0
Can't Take My Eyes off You,Frankie Valli,en,r&b,north-american,urban contemporary,male,257,0
Bad Moon Rising,Creedence Clearwater Revival,en,rock,north-american,classic rock,Group,146,0
I Seen A Man Die,Scarface,en,rap,north-american,gangster rap,male,653,0
Golden,Jill Scott,en,r&b,north-american,neo soul,female,181,0
Make It Better (feat. Smokey Robinson),Anderson .Paak,en,r&b,north-american,neo soul,male,423,0
One For the Money,Escape the Fate,en,rock,north-american,hard rock,Group,398,0
All I Wanna Do,Martin Jensen,en,pop,european,dance pop,male,544,0
Ni Un Fruto,Denise Rosenthal,es,latin,latino,latin pop,female,319,1
Let You Know - Nathan C Remix,Flume,en,edm,oceania,progressive electro house,male,283,0
Fly By Night,Rush,en,rock,north-american,classic rock,Group,299,0
Hold Me Now,Thompson Twins,en,rock,european,permanent wave,Group,369,0
Una y Otra Vez,Manuel Medrano,es,latin,latino,latin pop,male,199,1
ZEZE (feat. Travis Scott & Offset),Kodak Black,en,latin,north-american,latin hip hop,male,814,0
I Heard It Through The Grapevine - Single Version,Creedence Clearwater Revival,en,rock,north-american,classic rock,Group,283,0
Deliriously Good,Rat City,en,pop,european,post-teen pop,Group,328,0
