song_title,artist,musical_genre,lyric_length,needs_translation,continent,gender,source
Nothin' But The Cavi Hit,Mack 10,rap,691,0,North America,Male,spotify
Alladat,Jarren Benton,r&b,573,0,North America,Male,spotify
Howling,RY X,pop,137,0,Oceania,Male,spotify
48H (feat. Sfera Ebbasta),Izi,rap,397,1,Europe,Male,spotify
Forget,Twin Shadow,pop,137,0,North America,Male,spotify
Make Me Feel Better - Klingande Remix,Alex Adair,latin,164,0,Europe,Male,spotify
It's Goin' Down (feat. Nitti),Yung Joc,rap,1296,0,North America,Male,spotify
Ich Binnezz,Bonez MC,rap,454,1,Europe,Male,spotify
Middle Of The Night,MJG,rap,892,0,North America,Male,spotify
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,edm,357,0,Europe,Female,spotify
Miss You Much,Janet Jackson,r&b,433,0,North America,Female,spotify
Let It Happen,Tame Impala,pop,264,0,Oceania,Male,spotify
Best Life,Danny Brown,r&b,442,0,North America,Male,spotify
Talk - Alle Farben Remix,Khalid,pop,538,0,North America,Male,spotify
Bad (feat. Vassy) - Radio Edit,David Guetta,edm,141,0,Europe,Male,spotify
The Way,Ariana Grande,pop,729,0,North America,Female,spotify
Headlights (feat. Ilsey),Robin Schulz,pop,190,0,Europe,Male,spotify
Golden Years - M-Phazes Remix,Ruel,pop,233,0,Oceania,Male,spotify
Ride Wit Me,Nelly,rap,2096,0,North America,Male,spotify
We Don't Talk Anymore,Charlie Puth,pop,1425,0,North America,Male,spotify
Safari,J Balvin,latin,519,1,Latin America,Male,spotify
"i hate u, i love u (feat. olivia o'brien) - Deepend Remix",gnash,edm,574,0,North America,Male,spotify
Sektion (feat. Branco & Gilli),Benny Jamz,rap,560,1,Europe,Male,spotify
Drew Barrymore,SZA,r&b,404,0,North America,Female,spotify
Fire Fly,Childish Gambino,r&b,646,0,North America,Male,spotify
Peachy Keen,L Devine,pop,206,0,Europe,Female,spotify
Liar,Camila Cabello,pop,408,0,North America,Female,spotify
Safety (feat. DJ Snake) - Dark Heart Burn Mix,GASHI,edm,278,0,North America,Male,spotify
Guardia Civil,Reda Rwena,rap,613,1,Europe,Male,spotify
Calabria - Firebeatz Remix,Rune RK,edm,1292,0,Europe,Male,spotify
Best Rapper Alive,Lil Wayne,rap,655,0,North America,Male,spotify
Magenta (prod. Auer),Pezet,rap,522,1,Europe,Male,spotify
Sleepy Eyes,Elohim,rap,244,0,North America,Female,spotify
Got To Get It,Sisqo,r&b,475,0,North America,Male,spotify
Inocente,Myke Towers,latin,494,1,North America,Male,spotify
Million Years,Gareth Emery,edm,236,0,Europe,Male,spotify
Make Believe,Kenny Lattimore,r&b,316,0,North America,Male,spotify
Drop In the Ocean,OMI,latin,315,0,Latin America,Male,spotify
High Fashion (feat. Mustard),Roddy Ricch,rap,663,0,North America,Male,spotify
22,TINI,latin,341,1,Latin America,Female,spotify
Good as Hell (feat. Ariana Grande) - Remix,Lizzo,pop,1588,0,North America,Female,spotify
Nasty,Janet Jackson,rock,562,0,North America,Female,spotify
Own It (feat. Ed Sheeran & Burna Boy),Stormzy,rap,1100,0,Europe,Male,spotify
Dr. Beat,Gloria Estefan,latin,358,0,North America,Female,spotify
Cupid Shuffle,Cupid,rap,1696,0,North America,Male,spotify
Por Contarle Los Secretos,Jon Z,rap,1340,1,North America,Male,spotify
Not Backing Down,Blanca,edm,396,0,North America,Female,spotify
Dare You - Radio Edit,Hardwell,edm,159,0,Europe,Male,spotify
FRIENDS,Marshmello,pop,1464,0,North America,Male,spotify
All Day All Night,Bobby Brown,r&b,444,0,North America,Male,spotify
Celebration (feat. Ky-Mani Marley),Maffio,latin,483,1,Latin America,Male,spotify
Good Nights (feat. Mascolo),Whethan,pop,329,0,North America,Male,spotify
Where Do We Go,Solange,r&b,197,0,North America,Female,spotify
Triste,Kase.O,r&b,299,1,Europe,Male,spotify
I Follow Rivers,Lykke Li,pop,242,0,Europe,Female,spotify
All In My Head,Tori Kelly,r&b,258,0,North America,Female,spotify
Sorry,Justin Bieber,pop,1304,0,North America,Male,spotify
Sleep Talking,Charlotte Lawrence,pop,473,0,North America,Female,spotify
Nudies,24hrs,rap,375,0,North America,Male,spotify
Can't C Me,2Pac,rap,772,0,North America,Male,spotify
Let Me Roll It - Remastered 2010,Paul McCartney,rock,186,0,Europe,Male,spotify
You're Makin' Me High,Toni Braxton,r&b,257,0,North America,Female,spotify
Ella Me Cautivo,J Balvin,latin,588,1,Latin America,Male,spotify
The Middle,Zedd,pop,2154,0,Europe,Male,spotify
News For You,Eric Benét,r&b,425,0,North America,Male,spotify
Oye,TINI,latin,626,1,Latin America,Female,spotify
This Is The Shack,Warren G,rap,643,0,North America,Male,spotify
In Da Club,50 Cent,rap,707,0,North America,Male,spotify
Outta My Head (with John Mayer),Khalid,latin,1444,0,North America,Male,spotify
Pedro Navaja,Rubén Blades,latin,652,1,Latin America,Male,spotify
Papaoutai,Stromae,rap,439,1,Europe,Male,spotify
UP THE SMOKE (with Offset),Stunna 4 Vegas,rap,807,0,North America,Male,spotify
Into You (feat. Tamia) - Radio Edit,Fabolous,r&b,653,0,North America,Male,spotify
Tus Ojos No Me Ven - feat. Joewell y Randy,Joey Montana,latin,428,1,Latin America,Male,spotify
Los Olores de Tu Alma,Javiera Mena,pop,273,1,Latin America,Female,spotify
Side To Side - Slushii Remix,Ariana Grande,edm,509,0,North America,Female,spotify
Return To Love,Andrea Bocelli,r&b,181,0,Europe,Male,spotify
Moonlight,Gaullin,pop,487,0,Europe,Male,spotify
Good Looking,Don Omar,latin,1232,1,North America,Male,spotify
More,Zion,latin,400,1,North America,Male,spotify
Los Angeles Times,Xzibit,rap,910,0,North America,Male,spotify
Ronca,Don Omar,latin,552,1,North America,Male,spotify
Get It On Tonite,Montell Jordan,r&b,297,0,North America,Male,spotify
Boy I've Been Told,Safire,latin,247,0,Oceania,Male,spotify
Ain't My Fault,Zara Larsson,pop,582,0,Europe,Female,spotify
Dancing On Glass,St. Lucia,pop,241,0,Europe,Male,spotify
Galway Girl,Ed Sheeran,pop,490,0,Europe,Male,spotify
Free (feat. T-Jay),GAWVI,edm,398,0,North America,Male,spotify
Show Me Love,Robin Schulz,pop,294,0,Europe,Male,spotify
Love Scars,Trippie Redd,rap,269,0,North America,Male,spotify
Storm (feat. Kyra Mastro),Famba,edm,305,0,North America,Male,spotify
Fuentes de Ortiz,Ed Maverick,latin,206,1,North America,Male,spotify
WANT,TAEMIN,pop,254,1,Asia,Male,spotify
Suave (Remix),El Alfa,latin,415,1,Latin America,Male,spotify
Without Love,Nikka Costa,r&b,279,0,North America,Female,spotify
Conquista,Jerau,latin,233,1,Latin America,Male,spotify
Take Me to Church,Hozier,pop,834,0,Europe,Male,spotify
Grillz - Dirty,Nelly,rap,849,0,North America,Male,spotify
So Good (feat. Raekwon),Davina,r&b,329,0,North America,Female,spotify
Seppuku (feat. Suicideboy$ & Jgrxxn),Ghostemane,rap,457,0,North America,Male,spotify
Belief - Acoustic,John Mayer,latin,257,0,North America,Male,spotify
Dilemma,Nelly,rap,1498,0,North America,Male,spotify
When Can I See You,Babyface,r&b,225,0,North America,Male,spotify
Fortunate,Maxwell,r&b,165,0,North America,Male,spotify
Bonita,J Balvin,latin,996,1,Latin America,Male,spotify
Dag 1,Gilli,rap,740,1,Europe,Male,spotify
Your Peace (feat. Lil Baby),Jacquees,r&b,487,0,North America,Male,spotify
Blood // Water,grandson,pop,316,0,North America,Male,spotify
Shame,Freddie Gibbs,r&b,618,0,North America,Male,spotify
My Death,Scott Walker,rock,268,0,Europe,Male,spotify
I Saw the Light,Todd Rundgren,rock,244,0,North America,Male,spotify
Mafo,Naira Marley,latin,439,0,Europe,Male,spotify
They Don't Know,Jon B.,r&b,1551,0,North America,Male,spotify
This Is America,Childish Gambino,pop,1224,0,North America,Male,spotify
Seele,Azet,rap,350,1,Europe,Male,spotify
Sincera,Fred De Palma,latin,376,1,Europe,Male,spotify
In My Feelings,Drake,r&b,581,0,North America,Male,spotify
Backyard Boogie,Mack 10,rap,565,0,North America,Male,spotify
Estamos Arriba,Bad Bunny,rap,1186,1,North America,Male,spotify
Let The Beat Build,Lil Wayne,rap,1584,0,North America,Male,spotify
Dynamite - Original Mix,Quintino,edm,286,0,Europe,Male,spotify
Hooka,Don Omar,latin,1314,1,North America,Male,spotify
Can't Take My Eyes off You,Frankie Valli,r&b,257,0,North America,Male,spotify
I Seen A Man Die,Scarface,rap,653,0,North America,Male,spotify
Golden,Jill Scott,r&b,181,0,North America,Female,spotify
Make It Better (feat. Smokey Robinson),Anderson .Paak,r&b,423,0,North America,Male,spotify
All I Wanna Do,Martin Jensen,pop,544,0,Europe,Male,spotify
Ni Un Fruto,Denise Rosenthal,latin,319,1,Latin America,Female,spotify
Let You Know - Nathan C Remix,Flume,edm,283,0,Oceania,Male,spotify
Una y Otra Vez,Manuel Medrano,latin,199,1,Latin America,Male,spotify
ZEZE (feat. Travis Scott & Offset),Kodak Black,latin,814,0,North America,Male,spotify
Ghost - Lost Kings Remix,Halsey,pop,520,0,North America,Female,spotify
Vete,Khea,rap,415,1,Latin America,Male,spotify
Just Us (feat. SZA),DJ Khaled,latin,1473,0,North America,Male,spotify
Blood - Remix,Moonkey,rap,358,1,Europe,Male,spotify
Sola,Luis Fonsi,latin,392,1,North America,Male,spotify
Is' mir egal,Hanybal,rap,240,1,Europe,Male,spotify
Von unten nach oben,TaiMO,rap,494,1,Europe,Male,spotify
Forever,Drake,rap,2156,0,North America,Male,spotify
The Format,AZ,rap,417,0,North America,Male,spotify
Kannste ma sehn,Baba Saad,rap,337,1,Europe,Male,spotify
Pretending (feat. Jessie Reyez),A Boogie Wit da Hoodie,r&b,345,0,North America,Male,spotify
Simply Irresistible,Robert Palmer,rock,283,0,Europe,Male,spotify
Red,HyunA,edm,301,1,Asia,Female,spotify
Cool Blue,The Japanese House,pop,143,0,Europe,Female,spotify
Issues/Hold On,Teyana Taylor,r&b,314,0,North America,Female,spotify
Close To Me (with Diplo) (feat. Swae Lee) - Felix Cartal Remix,Ellie Goulding,pop,978,0,Europe,Female,spotify
No Me Dejes de Querer,Gloria Estefan,latin,264,1,North America,Female,spotify
All I Want for Christmas Is You,Mariah Carey,r&b,398,0,North America,Female,spotify
Don't Stop The Music,Rihanna,latin,1430,0,North America,Female,spotify
Bandito,Enzo Dong,rap,488,1,Europe,Male,spotify
Let Her Go,The Kid LAROI,rap,390,0,Oceania,Male,spotify
Hideaway,Kiesza,latin,323,0,North America,Female,spotify
VALENTINO,24kGoldn,rap,485,0,North America,Male,spotify
Flying On My Own - Dave Audé Remix,Céline Dion,edm,282,0,North America,Female,spotify
Low (feat. T-Pain),Flo Rida,pop,1438,0,North America,Male,spotify
Into You (feat. Fabolous),Tamia,r&b,695,0,North America,Female,spotify
No Captain - Dirty South Remix,Lane 8,edm,245,0,North America,Male,spotify
Emotions,Mariah Carey,r&b,277,0,North America,Female,spotify
Beside You,Karyn White,r&b,239,0,North America,Female,spotify
Pumps and a Bump,MC Hammer,r&b,599,0,North America,Male,spotify
Outlaw Shit (feat. Waylon Jennings & Yelawolf),Struggle Jennings,rap,508,0,North America,Male,spotify
How You Love Me (feat. Conor Maynard & Snoop Dogg),Hardwell,pop,1347,0,Europe,Male,spotify
Belly Danza - Remastered 2016,Don Omar,latin,252,1,North America,Male,spotify
Father O'Blivion,Frank Zappa,rock,224,0,North America,Male,spotify
drugs,EDEN,pop,464,0,Europe,Male,spotify
Sun Goes Down (feat. Jasmine Thompson) - Radio Mix,Robin Schulz,latin,181,0,Europe,Male,spotify
Let Her Go,6LACK,r&b,418,0,North America,Male,spotify
Hands In The Air,8Ball,rap,635,0,North America,Male,spotify
Never Lie (feat. Moneybagg Yo),Wiz Khalifa,rap,478,0,North America,Male,spotify
Lyte as a Rock,MC Lyte,r&b,689,0,North America,Female,spotify
At Last - Single Version,Etta James,r&b,212,0,North America,Female,spotify
Missing You,Case,r&b,395,0,North America,Male,spotify
Dynamite,China Anne McClain,pop,289,0,North America,Female,spotify
Thinking Of Sunshine - Kretsen Remix,Daniel Adams-Ray,edm,387,0,Europe,Male,spotify
Favorite Part Of Me,Astrid S,pop,379,0,Europe,Female,spotify
Too Many,Tyga,rap,531,0,North America,Male,spotify
Somethin' 4 Da Honeyz,Montell Jordan,r&b,411,0,North America,Male,spotify
The Nights,Avicii,pop,606,0,Europe,Male,spotify
Disco Inferno - Live from Sessions @ AOL,50 Cent,rap,598,0,North America,Male,spotify
Love Myself,Hailee Steinfeld,pop,448,0,North America,Female,spotify
"Go Hard, Go Home (feat. Giz, Swellz & Choppa)",Roy Jones Jr.,rock,345,0,North America,Male,spotify
Love Me Like You Do,Ellie Goulding,pop,357,0,Europe,Female,spotify
Gimme de Tu Amor,Soraya,latin,383,1,North America,Female,spotify
Flames (feat. Ruel),SG Lewis,edm,188,0,Europe,Male,spotify
Eastside (with Halsey & Khalid),benny blanco,pop,1988,0,North America,Male,spotify
Yuck,Logic,rap,547,0,North America,Male,spotify
Like This,Throttle,edm,300,0,Oceania,Male,spotify
Stay (with Alessia Cara),Zedd,pop,614,0,Europe,Male,spotify
Bennie And The Jets - Remastered 2014,Elton John,rock,311,0,Europe,Male,spotify
Bump n' Grind,R. Kelly,r&b,356,0,North America,Male,spotify
Mona Lisa (feat. Kendrick Lamar),Lil Wayne,r&b,1336,0,North America,Male,spotify
The Party & The After Party,The Weeknd,r&b,760,0,North America,Male,spotify
Everlasting Love,Gloria Estefan,latin,338,0,North America,Female,spotify
Out In The Fields,Gary Moore,rock,270,0,Europe,Male,spotify
California Love - Original Version (Explicit),2Pac,rap,586,0,North America,Male,spotify
Amor De Pobre,Zion,latin,501,1,North America,Male,spotify
Abriré La Puerta,David Bisbal,latin,219,1,Europe,Male,spotify
Who - Radio Edit,Tujamo,edm,291,0,Europe,Male,spotify
You Know My Name,Tasha Cobbs Leonard,r&b,444,0,North America,Female,spotify
September Song,JP Cooper,pop,335,0,Europe,Male,spotify
Go to Sleep - John De Sohn Remix,John De Sohn,edm,544,0,Europe,Male,spotify
Good Cop Bad Cop,Ice Cube,rap,537,0,North America,Male,spotify
Give It Here,Def Jef,r&b,605,0,North America,Male,spotify
Parecen Viernes,Marc Anthony,latin,339,1,North America,Male,spotify
Je m'en vais,Cali,rock,319,1,Europe,Male,spotify
Experiencia Religiosa,Enrique Iglesias,latin,228,1,Europe,Male,spotify
Intoxicated - Original Mix,Martin Solveig,pop,111,0,Europe,Male,spotify
Disrespectful,GASHI,rap,448,0,North America,Male,spotify
Like A Pimp,David Banner,rap,733,0,North America,Male,spotify
Dvd,Mlodyskiny,rap,293,1,Europe,Male,spotify
Cruel,Jeff Bernat,r&b,377,0,North America,Male,spotify
Home,Teitur,r&b,255,0,Europe,Male,spotify
Si Me Gano Un Grammy,Jon Z,rap,501,1,North America,Male,spotify
"Made In France (with Tchami & Malaa, feat. Mercer)",DJ Snake,edm,224,0,Europe,Male,spotify
Too Good,Christian Kuria,r&b,279,0,North America,Male,spotify
rockstar (feat. 21 Savage),Post Malone,rap,1022,0,North America,Male,spotify
Molly,Ixzo,r&b,419,1,Europe,Male,spotify
De Repente,Soraya,pop,192,1,North America,Female,spotify
Where Did My Baby Go,John Legend,r&b,286,0,North America,Male,spotify
Xxplosive,Dr. Dre,rap,1070,0,North America,Male,spotify
Walk on the Wild Side,Lou Reed,rock,421,1,North America,Male,spotify
Sneak Diss (feat. So6ix),Ghostemane,rap,560,0,North America,Male,spotify
Lemme Freak,Lil Dicky,rap,964,0,North America,Male,spotify
No Problem,Lil Scrappy,rap,666,0,North America,Male,spotify
"Sit Still, Look Pretty",Daya,pop,573,0,North America,Female,spotify
Everyday Is Like Sunday - 2011 Remaster,Morrissey,rock,131,0,Europe,Male,spotify
Mrs. Officer,Lil Wayne,rap,1572,0,North America,Male,spotify
Paradise,Matthew Parker,pop,208,0,North America,Male,spotify
Be As You Are - JordanXL Remix,Mike Posner,edm,469,0,North America,Male,spotify
Almost Mine - Radio Edit,Wankelmut,latin,324,0,Europe,Male,spotify
Hey Ya,Obadiah Parker,r&b,354,0,North America,Male,spotify
Habits of My Heart - EP Version,Jaymes Young,pop,175,0,North America,Male,spotify
TOGETHER,KAYTRANADA,r&b,338,0,North America,Male,spotify
GANG,Rain,edm,189,1,Asia,Male,spotify
Love Is Gone - Original Extended,David Guetta,edm,348,0,Europe,Male,spotify
Need You,Faustix,pop,248,0,Europe,Male,spotify
Hollaback Girl,Gwen Stefani,pop,1056,0,North America,Female,spotify
The First One,Astrid S,pop,407,0,Europe,Female,spotify
Save Me,Aimee Mann,rock,194,0,North America,Female,spotify
Bella y Sensual,Romeo Santos,latin,392,1,North America,Male,spotify
Losing You,Solange,r&b,312,0,North America,Female,spotify
It Ain't My Fault,Silkk The Shocker,rap,641,0,North America,Male,spotify
I'm Coming Out,Diana Ross,r&b,368,0,North America,Female,spotify
Reminisce,Mary J. Blige,r&b,514,0,North America,Female,spotify
When Doves Cry,Ginuwine,r&b,309,0,North America,Male,spotify
Pony - Recorded at Spotify Studios NYC,Leon Bridges,r&b,241,0,North America,Male,spotify
Still Got Me (feat. Jocelyn Bowman),GAWVI,edm,243,0,North America,Male,spotify
Iggin' Me,Chico DeBarge,r&b,512,0,North America,Male,spotify
Win,Stefflon Don,latin,644,0,Europe,Female,spotify
One More Night,Michael Kiwanuka,r&b,191,0,Europe,Male,spotify
Regulate,Warren G,rap,595,0,North America,Male,spotify
Daylight (Airbeat One Anthem 2018),Fluex,pop,149,0,Europe,Male,spotify
Rock Bottom,grandson,pop,366,0,North America,Male,spotify
Ruin My Life - Steve James Remix,Zara Larsson,pop,615,0,Europe,Female,spotify
Wow. - Remix,Post Malone,rap,406,0,North America,Male,spotify
Love Song (feat. Glasses),Kazy Lambist,rock,113,0,Europe,Male,spotify
Quiere Beber,Anuel AA,latin,468,1,North America,Male,spotify
Pipes Of Peace - Remastered 2015,Paul McCartney,rock,248,0,Europe,Male,spotify
Shape of You,Ed Sheeran,latin,1316,0,Europe,Male,spotify
Wake Up - Sondr Remix,Chelsea Cutler,pop,316,0,North America,Female,spotify
Bring It Down,Dyro,edm,137,0,Europe,Male,spotify
More Than A Woman (feat. Calvin) - Duet w/ Calvin,Angie Stone,r&b,609,0,North America,Female,spotify
Post to Be (feat. Chris Brown & Jhene Aiko),Omarion,rap,1520,0,North America,Male,spotify
Schmeckt (feat. LX),Hemso,rap,471,1,Europe,Male,spotify
Teenage Fantasy,Jorja Smith,pop,403,0,Europe,Female,spotify
Fade All My Life,Unlike Pluto,edm,210,0,North America,Male,spotify
My Prerogative,Bobby Brown,r&b,521,0,North America,Male,spotify
Don't Trip,The Game,rap,923,0,North America,Male,spotify
Keep It Real,Jon B.,r&b,599,0,North America,Male,spotify
IDGAF - Hazers Remix,Dua Lipa,pop,450,0,Europe,Female,spotify
Holidae In,Chingy,r&b,985,0,North America,Male,spotify
Te regalo,Carlos Baute,latin,339,1,Latin America,Male,spotify
Anywhere,Dillon Francis,pop,246,0,North America,Male,spotify
Stone Free,Jimi Hendrix,rock,294,0,North America,Male,spotify
Easy Go,Grandtheft,edm,166,0,North America,Male,spotify
Kush Ups (feat. Wiz Khalifa),Snoop Dogg,rap,545,0,North America,Male,spotify
As Above so Look out Below,Ghostemane,rap,235,0,North America,Male,spotify
Two Miles An Hour,Ludacris,rap,512,0,North America,Male,spotify
Cha Cha Cha,MC Lyte,r&b,423,0,North America,Female,spotify
BOBBY (feat. My Dad),Logic,rap,572,0,North America,Male,spotify
143,Musiq Soulchild,r&b,309,0,North America,Male,spotify
Down On My Luck,Vic Mensa,r&b,428,0,North America,Male,spotify
Mall,Gucci Mane,rap,410,0,North America,Male,spotify
No Other Love (feat. Estelle),John Legend,r&b,385,0,North America,Male,spotify
buckle up,Idaly,latin,372,0,Europe,Male,spotify
Viviré (feat. Evan Craft),Redimi2,latin,490,1,Latin America,Male,spotify
Travelin' Man,Albert King,rock,150,0,North America,Male,spotify
"Hold On, We're Going Home",Drake,rap,317,0,North America,Male,spotify
VIBEZ,DaBaby,rap,2067,0,North America,Male,spotify
ZEZE,Kodak Black,pop,2442,0,North America,Male,spotify
Turnin' Me Up,BJ The Chicago Kid,r&b,264,0,North America,Male,spotify
R U Mine (SteLouse Remix),ROZES,pop,214,0,North America,Female,spotify
Middle,DJ Snake,pop,210,0,Europe,Male,spotify
Sharpness,Jamie Woon,r&b,260,0,Europe,Male,spotify
Someone New,Astrid S,pop,288,0,Europe,Female,spotify
Aloha,Carlos Sadness,latin,291,1,Europe,Male,spotify
I'll Whip Ya Head Boy,50 Cent,rap,682,0,North America,Male,spotify
Crime Wave,50 Cent,rap,514,0,North America,Male,spotify
Reload - Radio Edit,Sebastian Ingrosso,edm,176,0,Europe,Male,spotify
Oh My Love - Remastered 2010,John Lennon,rock,116,0,Europe,Male,spotify
I Was Sad Last Night I'm OK Now,tobi lou,rap,651,0,North America,Male,spotify
Te Suelto el Pelo,Yandel,latin,252,1,North America,Male,spotify
AMOR,Jonna Fraser,latin,391,1,Europe,Male,spotify
Heaven,Bryan Adams,rock,279,0,North America,Male,spotify
Because of You,Kelly Clarkson,pop,325,0,North America,Female,spotify
All Work,Curren$y,rap,404,0,North America,Male,spotify
7 Days,Craig David,r&b,509,0,Europe,Male,spotify
Vuelva A Ver - Remix,Dalex,latin,337,1,North America,Male,spotify
