song_title,artist,continent,gender,source,original_index,musical_genre,needs_translation,lyrics_length
First World Problemz / Nobody Carez,Brent Faiyaz,north america,male,spotify,63,r&b,0,551
Marvins Room,Drake,north america,male,spotify,64,r&b,0,556
Beautiful Trauma - MOTi Remix,P!nk,north america,female,spotify,65,edm,0,403
Dancewitme,Maxwell,north america,male,spotify,66,r&b,0,181
Grateful (Neon Feather Remix),Cade Thompson,north america,male,spotify,67,pop,0,245
Jungli Sher,DIVINE,north america,male,spotify,69,rap,1,478
Hot In Herre,Nelly,north america,male,spotify,72,rap,0,1512
Rearranged,Killstation,north america,male,spotify,73,rap,0,138
No Stylist,French Montana,north america,male,spotify,74,rap,0,936
Da Graveyard,Big L,north america,male,spotify,76,rap,0,1101
Bored,Billie Eilish,north america,female,spotify,77,r&b,0,281
Certainly - Flipped It,Erykah Badu,north america,female,spotify,78,r&b,0,316
Don't You Want Me,Jody Watley,north america,female,spotify,79,r&b,0,349
I'm a Mess,Bebe Rexha,north america,female,spotify,80,pop,0,1011
Ready Set (feat. Big Sean),Kash Doll,north america,female,spotify,81,rap,0,420
I See Your Smile,Gloria Estefan,north america,female,spotify,82,latin,0,253
Feel Me (feat. Kanye West),Tyga,north america,male,spotify,84,rap,0,510
Andar Conmigo,Julieta Venegas,north america,female,spotify,85,latin,1,267
"Camelot (feat. Yo Gotti, BlocBoy JB & Moneybagg Yo) - Remix",NLE Choppa,north america,male,spotify,86,rap,0,517
Nothin' But The Cavi Hit,Mack 10,north america,male,spotify,87,rap,0,691
Alladat,Jarren Benton,north america,male,spotify,88,r&b,0,598
Forget,Twin Shadow,north america,male,spotify,91,pop,0,137
It's Goin' Down (feat. Nitti),Yung Joc,north america,male,spotify,93,rap,0,1296
Middle Of The Night,MJG,north america,male,spotify,95,rap,0,829
Miss You Much,Janet Jackson,north america,female,spotify,97,r&b,0,433
Best Life,Danny Brown,north america,male,spotify,99,r&b,0,447
Talk - Alle Farben Remix,Khalid,north america,male,spotify,100,pop,0,538
The Way,Ariana Grande,north america,female,spotify,102,pop,0,729
Ride Wit Me,Nelly,north america,male,spotify,105,rap,0,1892
We Don't Talk Anymore,Charlie Puth,north america,male,spotify,106,pop,0,1425
"i hate u, i love u (feat. olivia o'brien) - Deepend Remix",gnash,north america,male,spotify,108,edm,0,574
Drew Barrymore,SZA,north america,female,spotify,110,r&b,0,404
Fire Fly,Childish Gambino,north america,male,spotify,111,r&b,0,646
Liar,Camila Cabello,north america,female,spotify,113,pop,0,408
Safety (feat. DJ Snake) - Dark Heart Burn Mix,GASHI,north america,male,spotify,114,edm,0,278
Best Rapper Alive,Lil Wayne,north america,male,spotify,117,rap,0,655
Sleepy Eyes,Elohim,north america,female,spotify,119,rap,0,244
Got To Get It,Sisqo,north america,male,spotify,120,r&b,0,475
Inocente,Myke Towers,north america,male,spotify,121,latin,1,517
Make Believe,Kenny Lattimore,north america,male,spotify,123,r&b,0,316
High Fashion (feat. Mustard),Roddy Ricch,north america,male,spotify,125,rap,0,661
Good as Hell (feat. Ariana Grande) - Remix,Lizzo,north america,female,spotify,127,pop,0,1588
Nasty,Janet Jackson,north america,female,spotify,128,rock,0,562
Dr. Beat,Gloria Estefan,north america,female,spotify,130,latin,0,358
Cupid Shuffle,Cupid,north america,male,spotify,131,rap,0,1696
Por Contarle Los Secretos,Jon Z,north america,male,spotify,132,rap,1,1484
Not Backing Down,Blanca,north america,female,spotify,133,edm,0,396
FRIENDS,Marshmello,north america,male,spotify,135,pop,0,1464
All Day All Night,Bobby Brown,north america,male,spotify,136,r&b,0,444
Good Nights (feat. Mascolo),Whethan,north america,male,spotify,138,pop,0,329
Where Do We Go,Solange,north america,female,spotify,139,r&b,0,197
All In My Head,Tori Kelly,north america,female,spotify,142,r&b,0,258
Sorry,Justin Bieber,north america,male,spotify,143,pop,0,1304
Sleep Talking,Charlotte Lawrence,north america,female,spotify,144,pop,0,473
Nudies,24hrs,north america,male,spotify,145,rap,0,375
Can't C Me,2Pac,north america,male,spotify,146,rap,0,772
You're Makin' Me High,Toni Braxton,north america,female,spotify,148,r&b,0,257
News For You,Eric Benét,north america,male,spotify,151,r&b,0,425
This Is The Shack,Warren G,north america,male,spotify,153,rap,0,643
In Da Club,50 Cent,north america,male,spotify,154,rap,0,707
Outta My Head (with John Mayer),Khalid,north america,male,spotify,155,latin,0,1444
UP THE SMOKE (with Offset),Stunna 4 Vegas,north america,male,spotify,158,rap,0,807
Into You (feat. Tamia) - Radio Edit,Fabolous,north america,male,spotify,159,r&b,0,652
Side To Side - Slushii Remix,Ariana Grande,north america,female,spotify,162,edm,0,509
Good Looking,Don Omar,north america,male,spotify,165,latin,1,1286
More,Zion,north america,male,spotify,166,latin,1,460
Los Angeles Times,Xzibit,north america,male,spotify,167,rap,0,909
Ronca,Don Omar,north america,male,spotify,168,latin,1,632
Get It On Tonite,Montell Jordan,north america,male,spotify,169,r&b,0,297
Free (feat. T-Jay),GAWVI,north america,male,spotify,174,edm,0,394
Love Scars,Trippie Redd,north america,male,spotify,176,rap,0,269
Storm (feat. Kyra Mastro),Famba,north america,male,spotify,177,edm,0,305
Fuentes de Ortiz,Ed Maverick,north america,male,spotify,178,latin,1,236
Without Love,Nikka Costa,north america,female,spotify,181,r&b,0,279
Grillz - Dirty,Nelly,north america,male,spotify,184,rap,0,849
So Good (feat. Raekwon),Davina,north america,female,spotify,185,r&b,0,329
Seppuku (feat. Suicideboy$ & Jgrxxn),Ghostemane,north america,male,spotify,186,rap,0,457
Belief - Acoustic,John Mayer,north america,male,spotify,187,latin,0,257
Dilemma,Nelly,north america,male,spotify,188,rap,0,1498
When Can I See You,Babyface,north america,male,spotify,189,r&b,0,225
Fortunate,Maxwell,north america,male,spotify,190,r&b,0,165
Your Peace (feat. Lil Baby),Jacquees,north america,male,spotify,193,r&b,0,487
Blood // Water,grandson,north america,male,spotify,194,pop,0,316
Shame,Freddie Gibbs,north america,male,spotify,195,r&b,0,427
I Saw the Light,Todd Rundgren,north america,male,spotify,197,rock,0,244
They Don't Know,Jon B.,north america,male,spotify,199,r&b,0,1551
This Is America,Childish Gambino,north america,male,spotify,200,pop,0,1220
In My Feelings,Drake,north america,male,spotify,203,r&b,0,588
Backyard Boogie,Mack 10,north america,male,spotify,204,rap,0,564
Estamos Arriba,Bad Bunny,north america,male,spotify,205,rap,1,1360
Let The Beat Build,Lil Wayne,north america,male,spotify,206,rap,0,792
Hooka,Don Omar,north america,male,spotify,208,latin,1,674
Can't Take My Eyes off You,Frankie Valli,north america,male,spotify,209,r&b,0,257
I Seen A Man Die,Scarface,north america,male,spotify,210,rap,0,652
Golden,Jill Scott,north america,female,spotify,211,r&b,0,181
Make It Better (feat. Smokey Robinson),Anderson .Paak,north america,male,spotify,212,r&b,0,423
ZEZE (feat. Travis Scott & Offset),Kodak Black,north america,male,spotify,217,latin,0,814
Ghost - Lost Kings Remix,Halsey,north america,female,spotify,218,pop,0,520
Just Us (feat. SZA),DJ Khaled,north america,male,spotify,220,latin,0,994
Sola,Luis Fonsi,north america,male,spotify,222,latin,1,442
Forever,Drake,north america,male,spotify,225,rap,0,1078
The Format,AZ,north america,male,spotify,226,rap,0,417
Pretending (feat. Jessie Reyez),A Boogie Wit da Hoodie,north america,male,spotify,228,r&b,0,342
Issues/Hold On,Teyana Taylor,north america,female,spotify,232,r&b,0,314
No Me Dejes de Querer,Gloria Estefan,north america,female,spotify,234,latin,1,281
All I Want for Christmas Is You,Mariah Carey,north america,female,spotify,235,r&b,0,398
Don't Stop The Music,Rihanna,north america,female,spotify,236,latin,0,1430
Hideaway,Kiesza,north america,female,spotify,239,latin,0,323
VALENTINO,24kGoldn,north america,male,spotify,240,rap,0,485
Flying On My Own - Dave Audé Remix,Céline Dion,north america,female,spotify,241,edm,0,282
Low (feat. T-Pain),Flo Rida,north america,male,spotify,242,pop,0,1438
Into You (feat. Fabolous),Tamia,north america,female,spotify,243,r&b,0,696
No Captain - Dirty South Remix,Lane 8,north america,male,spotify,244,edm,0,245
Emotions,Mariah Carey,north america,female,spotify,245,r&b,0,277
Beside You,Karyn White,north america,female,spotify,246,r&b,0,239
Pumps and a Bump,MC Hammer,north america,male,spotify,247,r&b,0,595
Outlaw Shit (feat. Waylon Jennings & Yelawolf),Struggle Jennings,north america,male,spotify,248,rap,0,499
Belly Danza - Remastered 2016,Don Omar,north america,male,spotify,250,latin,1,261
Father O'Blivion,Frank Zappa,north america,male,spotify,251,rock,0,226
Let Her Go,6LACK,north america,male,spotify,254,r&b,0,418
Hands In The Air,8Ball,north america,male,spotify,255,rap,0,635
Never Lie (feat. Moneybagg Yo),Wiz Khalifa,north america,male,spotify,256,rap,0,478
Lyte as a Rock,MC Lyte,north america,female,spotify,257,r&b,0,690
At Last - Single Version,Etta James,north america,female,spotify,258,r&b,0,212
Missing You,Case,north america,male,spotify,259,r&b,0,395
Dynamite,China Anne McClain,north america,female,spotify,260,pop,0,289
Too Many,Tyga,north america,male,spotify,263,rap,0,85
Somethin' 4 Da Honeyz,Montell Jordan,north america,male,spotify,264,r&b,0,411
Disco Inferno - Live from Sessions @ AOL,50 Cent,north america,male,spotify,266,rap,0,598
Love Myself,Hailee Steinfeld,north america,female,spotify,267,pop,0,448
"Go Hard, Go Home (feat. Giz, Swellz & Choppa)",Roy Jones Jr.,north america,male,spotify,268,rock,0,346
Gimme de Tu Amor,Soraya,north america,female,spotify,270,latin,1,382
Eastside (with Halsey & Khalid),benny blanco,north america,male,spotify,272,pop,0,1482
Yuck,Logic,north america,male,spotify,273,rap,0,547
Bump n' Grind,R. Kelly,north america,male,spotify,277,r&b,0,356
Mona Lisa (feat. Kendrick Lamar),Lil Wayne,north america,male,spotify,278,r&b,0,1336
The Party & The After Party,The Weeknd,north america,male,spotify,279,r&b,0,757
Everlasting Love,Gloria Estefan,north america,female,spotify,280,latin,0,338
California Love - Original Version (Explicit),2Pac,north america,male,spotify,282,rap,0,588
Amor De Pobre,Zion,north america,male,spotify,283,latin,1,574
You Know My Name,Tasha Cobbs Leonard,north america,female,spotify,286,r&b,0,444
Good Cop Bad Cop,Ice Cube,north america,male,spotify,289,rap,0,537
Give It Here,Def Jef,north america,male,spotify,290,r&b,0,605
Parecen Viernes,Marc Anthony,north america,male,spotify,291,latin,1,370
Disrespectful,GASHI,north america,male,spotify,295,rap,0,448
Like A Pimp,David Banner,north america,male,spotify,296,rap,0,731
Cruel,Jeff Bernat,north america,male,spotify,298,r&b,0,377
Si Me Gano Un Grammy,Jon Z,north america,male,spotify,300,rap,1,352
Too Good,Christian Kuria,north america,male,spotify,302,r&b,0,279
rockstar (feat. 21 Savage),Post Malone,north america,male,spotify,303,rap,0,1018
De Repente,Soraya,north america,female,spotify,305,pop,1,215
Where Did My Baby Go,John Legend,north america,male,spotify,306,r&b,0,286
Xxplosive,Dr. Dre,north america,male,spotify,307,rap,0,529
Walk on the Wild Side,Lou Reed,north america,male,spotify,308,rock,1,421
Sneak Diss (feat. So6ix),Ghostemane,north america,male,spotify,309,rap,0,560
Lemme Freak,Lil Dicky,north america,male,spotify,310,rap,0,964
No Problem,Lil Scrappy,north america,male,spotify,311,rap,0,666
"Sit Still, Look Pretty",Daya,north america,female,spotify,312,pop,0,573
Mrs. Officer,Lil Wayne,north america,male,spotify,314,rap,0,1561
Paradise,Matthew Parker,north america,male,spotify,315,pop,0,208
Be As You Are - JordanXL Remix,Mike Posner,north america,male,spotify,316,edm,0,469
Hey Ya,Obadiah Parker,north america,male,spotify,318,r&b,0,354
Habits of My Heart - EP Version,Jaymes Young,north america,male,spotify,319,pop,0,175
TOGETHER,KAYTRANADA,north america,male,spotify,320,r&b,0,338
Hollaback Girl,Gwen Stefani,north america,female,spotify,324,pop,0,1056
Save Me,Aimee Mann,north america,female,spotify,326,rock,0,194
Bella y Sensual,Romeo Santos,north america,male,spotify,327,latin,1,424
Losing You,Solange,north america,female,spotify,328,r&b,0,312
It Ain't My Fault,Silkk The Shocker,north america,male,spotify,329,rap,0,641
I'm Coming Out,Diana Ross,north america,female,spotify,330,r&b,0,368
Reminisce,Mary J. Blige,north america,female,spotify,331,r&b,0,514
When Doves Cry,Ginuwine,north america,male,spotify,332,r&b,0,309
Pony - Recorded at Spotify Studios NYC,Leon Bridges,north america,male,spotify,333,r&b,0,241
Still Got Me (feat. Jocelyn Bowman),GAWVI,north america,male,spotify,334,edm,0,243
Iggin' Me,Chico DeBarge,north america,male,spotify,335,r&b,0,512
Regulate,Warren G,north america,male,spotify,338,rap,0,595
Rock Bottom,grandson,north america,male,spotify,340,pop,0,366
Wow. - Remix,Post Malone,north america,male,spotify,342,rap,0,406
Quiere Beber,Anuel AA,north america,male,spotify,344,latin,1,478
Wake Up - Sondr Remix,Chelsea Cutler,north america,female,spotify,347,pop,0,316
More Than A Woman (feat. Calvin) - Duet w/ Calvin,Angie Stone,north america,female,spotify,349,r&b,0,609
Post to Be (feat. Chris Brown & Jhene Aiko),Omarion,north america,male,spotify,350,rap,0,1598
Fade All My Life,Unlike Pluto,north america,male,spotify,353,edm,0,210
My Prerogative,Bobby Brown,north america,male,spotify,354,r&b,0,521
Don't Trip,The Game,north america,male,spotify,355,rap,0,924
Keep It Real,Jon B.,north america,male,spotify,356,r&b,0,599
Holidae In,Chingy,north america,male,spotify,358,r&b,0,989
Anywhere,Dillon Francis,north america,male,spotify,360,pop,0,246
Stone Free,Jimi Hendrix,north america,male,spotify,361,rock,0,294
Easy Go,Grandtheft,north america,male,spotify,362,edm,0,166
Kush Ups (feat. Wiz Khalifa),Snoop Dogg,north america,male,spotify,363,rap,0,545
As Above so Look out Below,Ghostemane,north america,male,spotify,364,rap,0,235
Two Miles An Hour,Ludacris,north america,male,spotify,365,rap,0,509
Cha Cha Cha,MC Lyte,north america,female,spotify,366,r&b,0,423
BOBBY (feat. My Dad),Logic,north america,male,spotify,367,rap,0,572
143,Musiq Soulchild,north america,male,spotify,368,r&b,0,309
Down On My Luck,Vic Mensa,north america,male,spotify,369,r&b,0,428
Mall,Gucci Mane,north america,male,spotify,370,rap,0,411
No Other Love (feat. Estelle),John Legend,north america,male,spotify,371,r&b,0,385
Travelin' Man,Albert King,north america,male,spotify,374,rock,0,150
"Hold On, We're Going Home",Drake,north america,male,spotify,375,rap,0,317
VIBEZ,DaBaby,north america,male,spotify,376,rap,0,1378
ZEZE,Kodak Black,north america,male,spotify,377,pop,0,1632
Turnin' Me Up,BJ The Chicago Kid,north america,male,spotify,378,r&b,0,264
R U Mine (SteLouse Remix),ROZES,north america,female,spotify,379,pop,0,214
I'll Whip Ya Head Boy,50 Cent,north america,male,spotify,384,rap,0,681
Crime Wave,50 Cent,north america,male,spotify,385,rap,0,514
I Was Sad Last Night I'm OK Now,tobi lou,north america,male,spotify,388,rap,0,651
Te Suelto el Pelo,Yandel,north america,male,spotify,389,latin,1,283
Heaven,Bryan Adams,north america,male,spotify,391,rock,0,279
Because of You,Kelly Clarkson,north america,female,spotify,392,pop,0,325
All Work,Curren$y,north america,male,spotify,393,rap,0,404
Vuelva A Ver - Remix,Dalex,north america,male,spotify,395,latin,1,358
All Along The Watchtower,Jimi Hendrix,north america,male,spotify,398,rock,0,147
Good Time - Live From Spotify NYC,Owl City,north america,male,spotify,399,latin,0,375
Hoy - Spanish Version,Gloria Estefan,north america,female,spotify,401,latin,1,337
Chicago Boy,Ari Lennox,north america,female,spotify,403,r&b,0,336
Candy Shop,50 Cent,north america,male,spotify,407,rap,0,520
Bounce It (feat. Stonebwoy),Collie Buddz,north america,male,spotify,408,latin,0,2025
Where Them Niggaz At?,Pastor Troy,north america,male,spotify,410,rap,0,390
Encima De Mi,Rauw Alejandro,north america,male,spotify,411,rap,1,584
You,Jesse Powell,north america,male,spotify,412,r&b,0,303
Molly,Tyga,north america,male,spotify,413,rap,0,454
Want to Want Me,Jason Derulo,north america,male,spotify,416,edm,0,484
On The Road (feat. Meek Mill & Lil Baby),Post Malone,north america,male,spotify,417,rap,0,745
My Homeboy's Girlfriend,8Ball,north america,male,spotify,418,rap,0,580
I'm Bad,LL Cool J,north america,male,spotify,420,rap,0,715
My Darling,Eminem,north america,male,spotify,421,rap,0,1108
Rub You The Right Way,Johnny Gill,north america,male,spotify,422,r&b,0,493
Mo Better,Raheem DeVaughn,north america,male,spotify,424,r&b,0,446
Life Is A Highway,Tom Cochrane,north america,male,spotify,425,rock,0,398
Lemonade,Gucci Mane,north america,male,spotify,428,rap,0,741
Calling All the Monsters,China Anne McClain,north america,female,spotify,429,pop,0,431
Mannish Boy,Jimi Hendrix,north america,male,spotify,430,rock,0,201
Make Your Mark,Drew Ryan Scott,north america,male,spotify,431,pop,0,509
TiK ToK,Kesha,north america,female,spotify,433,pop,0,954
Bout Me (feat. Problem & Iamsu),Wiz Khalifa,north america,male,spotify,434,rap,0,672
Euphoria,Destiny Rogers,north america,female,spotify,435,r&b,0,467
Freddy Krueger (feat. Tee Grizzley),YNW Melly,north america,male,spotify,440,rap,0,744
Reach (NBC Olympic Version),Gloria Estefan,north america,female,spotify,441,latin,0,220
Mis Impulsos Sobre Ti - Remastered,Aleks Syntek,north america,male,spotify,442,pop,1,179
1st & 10 (Featuring Infamous 2-0 & Fate Wilson),Ludacris,north america,male,spotify,443,rap,0,596
Piensan,Myke Towers,north america,male,spotify,444,latin,1,918
Say It Again,AJ Mitchell,north america,male,spotify,445,pop,0,368
Te Guste,Jennifer Lopez,north america,female,spotify,447,rap,1,536
Tell Me What You Want Me to Do,Tevin Campbell,north america,male,spotify,448,r&b,0,298
Prrrum,Cosculluela,north america,male,spotify,451,latin,1,545
Eres Top,Ozuna,north america,male,spotify,452,rap,1,830
Nextel Chirp,Maceo,north america,male,spotify,454,rap,0,679
Home with You,Madison Beer,north america,female,spotify,456,pop,0,507
Super Bass,Nicki Minaj,north america,female,spotify,458,pop,0,628
Over Here Hustlin',Birdman,north america,male,spotify,459,rap,0,562
Trap House,Gucci Mane,north america,male,spotify,460,rap,0,547
Lose Yourself - Soundtrack Version,Eminem,north america,male,spotify,461,rap,0,825
Stick Out,Pouya,north america,male,spotify,463,rap,0,459
How I Move (feat. Lil Baby),Flipp Dinero,north america,male,spotify,464,rap,0,803
Something About the Sunshine,Anna Margaret,north america,female,spotify,465,pop,0,288
Giving You The Benefit,Pebbles,north america,female,spotify,467,r&b,0,441
La Playa,Myke Towers,north america,male,spotify,469,rap,1,578
Good Morning Heartache,Chris Botti,north america,male,spotify,470,r&b,0,170
One Minute Man (feat. Ludacris),Missy Elliott,north america,female,spotify,472,rap,0,689
That's What I Want For Christmas - Remastered 1992,Nancy Wilson,north america,female,spotify,474,r&b,0,139
Let's Get It On,Marvin Gaye,north america,male,spotify,475,rock,0,356
M'$,A$AP Rocky,north america,male,spotify,477,r&b,0,775
This Is The Carter,Lil Wayne,north america,male,spotify,478,rap,0,913
Speed,Kali Uchis,north america,female,spotify,482,r&b,0,392
One Dance,Drake,north america,male,spotify,484,pop,0,796
El Desorden,Ozuna,north america,male,spotify,485,latin,1,510
Moonlight,XXXTENTACION,north america,male,spotify,486,r&b,0,276
Indica Badu,Logic,north america,male,spotify,489,rap,0,795
Promise,Romeo Santos,north america,male,spotify,490,latin,0,365
Nails,Ghostemane,north america,male,spotify,492,rap,0,345
You Should Be Mine (Don't Waste Your Time),Brian McKnight,north america,male,spotify,493,r&b,0,538
He Said She Said,Ashley Tisdale,north america,female,spotify,495,pop,0,641
Sometimes,Erykah Badu,north america,female,spotify,499,r&b,0,306
No One Knows,Brent Faiyaz,north america,male,spotify,500,r&b,0,292
Polo A Tierra,Danna Paola,north america,female,spotify,501,latin,1,492
Niagara (feat. Lil Peep),Ghostemane,north america,male,spotify,503,rap,0,283
Speeding,Lights,north america,female,spotify,504,pop,0,276
Ayo,Chris Brown,north america,male,spotify,505,rap,0,661
Gush,Pharrell Williams,north america,male,spotify,509,r&b,0,360
Party We Will Throw Now!,Warren G,north america,male,spotify,510,rap,0,613
Why Are We So Broken (feat. blink-182) - Steve Aoki 182 Bottles Of Beer On The Wall Remix,Steve Aoki,north america,male,spotify,511,edm,0,339
Loyal To The Game - DJ Quik Remix (Explicit),2Pac,north america,male,spotify,512,rap,0,693
Say It to My Face,Madison Beer,north america,female,spotify,513,pop,0,372
Lo Que Traigo Es Flow,Funky,north america,male,spotify,514,latin,1,314
Kiss Me Deadly,Lita Ford,north america,female,spotify,515,rock,0,224
Polaris,Ghostemane,north america,male,spotify,516,rap,0,323
Have Yourself A Merry Little Christmas - Remastered,Lou Rawls,north america,male,spotify,517,r&b,0,188
Forever Scarred,FG Famous,north america,male,spotify,518,rap,0,816
You Used to Love Me,Faith Evans,north america,female,spotify,519,r&b,0,379
Young Jesus,Logic,north america,male,spotify,521,rap,0,667
Backyard,Kota the Friend,north america,male,spotify,523,rap,0,604
Again - Alan Walker Remix,Noah Cyrus,north america,female,spotify,524,edm,0,328
That's What I Like,Bruno Mars,north america,male,spotify,526,pop,0,1947
Just Don't Give A Fuck,Eminem,north america,male,spotify,527,rap,0,815
"Shakalaka (Steve Aoki, Deorro, MAKJ & Max Styler)",Steve Aoki,north america,male,spotify,528,edm,0,111
Hurricane - Arty Remix,Halsey,north america,female,spotify,530,pop,0,276
Bette Davis Eyes,Kim Carnes,north america,female,spotify,531,pop,0,221
"Only You (feat. WizKid, Offset & J Balvin)",Metro Boomin,north america,male,spotify,532,r&b,0,615
No I in Team,Arizona Zervas,north america,male,spotify,533,rap,0,518
Fallin',Alicia Keys,north america,female,spotify,534,r&b,0,219
Hades,Ghostemane,north america,male,spotify,535,rap,0,267
Dancing in the Dark,Bruce Springsteen,north america,male,spotify,537,pop,0,322
Firework,Katy Perry,north america,female,spotify,540,edm,0,379
Tyrone,Erykah Badu,north america,female,spotify,541,r&b,0,299
Demons,Alec Benjamin,north america,male,spotify,542,latin,0,304
I Don't Wanna Be Funny Anymore,Lucy Dacus,north america,female,spotify,543,pop,0,336
Price & Shining Armor,Sean Price,north america,male,spotify,544,rap,0,302
Blessed,Daniel Caesar,north america,male,spotify,546,r&b,0,314
Warm Winds (feat. Isaiah Rashad),SZA,north america,female,spotify,547,r&b,0,519
Mean,Taylor Swift,north america,female,spotify,549,pop,0,424
NO,Meghan Trainor,north america,female,spotify,550,pop,0,653
Dear Society,Madison Beer,north america,female,spotify,551,pop,0,448
Right Thurr,Chingy,north america,male,spotify,553,rap,0,1706
Camara Roll,Leebrian,north america,male,spotify,554,rap,1,571
Make 'Em Say Ugh,Master P,north america,male,spotify,555,rap,0,892
Mi Error - Remix,Eladio Carrion,north america,male,spotify,557,rap,1,956
The Struggle Is Real,Struggle Jennings,north america,male,spotify,559,rap,0,504
Superlove (feat. Oh Wonder),Whethan,north america,male,spotify,560,pop,0,318
N Luv Wit My Money,Paul Wall,north america,male,spotify,561,rap,0,888
Quien La Vio Llorar,Don Omar,north america,male,spotify,562,latin,1,403
Shutter Island,Jessie Reyez,north america,female,spotify,563,r&b,0,312
Poker Face,Lady Gaga,north america,female,spotify,564,pop,0,548
El Clavo,Prince Royce,north america,male,spotify,570,latin,1,510
Forever Your Girl,Paula Abdul,north america,female,spotify,572,r&b,0,406
Westside Story,The Game,north america,male,spotify,573,rap,0,646
MALA,6ix9ine,north america,male,spotify,574,latin,1,383
"Fronteamos Porque Podemos (feat. Daddy Yankee, Yandel & Nengo Flow)",De La Ghetto,north america,male,spotify,576,latin,1,917
Humpin' Around - Video Edit,Bobby Brown,north america,male,spotify,582,r&b,0,335
Kiss Me Thru The Phone,Soulja Boy,north america,male,spotify,583,rap,0,565
Alright,Logic,north america,male,spotify,584,rap,0,644
Shine,Lil Wayne,north america,male,spotify,587,rap,0,938
What Child Is This,Kelly Price,north america,female,spotify,590,r&b,0,348
Borrowed Love (feat. Swae Lee & WizKid),Metro Boomin,north america,male,spotify,592,r&b,0,382
Baila Conmigo,Jennifer Lopez,north america,female,spotify,593,latin,1,252
Girls Need Love (with Drake) - Remix,Summer Walker,north america,female,spotify,594,r&b,0,520
Linda Estrella (feat. Baby Rasta y Gringo),Noriega,north america,male,spotify,595,latin,1,360
Quiero Repetir,Ozuna,north america,male,spotify,596,latin,1,400
Perdido En Tus Ojos,Don Omar,north america,male,spotify,597,latin,1,1394
0 To 100 / The Catch Up,Drake,north america,male,spotify,598,r&b,0,977
Confused,Tevin Campbell,north america,male,spotify,599,r&b,0,160
GATman And Robbin,50 Cent,north america,male,spotify,600,rap,0,689
I Don't Dance,DMX,north america,male,spotify,602,rap,0,499
If You're Gonna Lie,FLETCHER,north america,female,spotify,603,pop,0,395
No Tears,Scarface,north america,male,spotify,604,rap,0,505
Monks,Frank Ocean,north america,male,spotify,605,r&b,0,330
Jerry Sprunger (with T-Pain),Tory Lanez,north america,male,spotify,606,r&b,0,1352
Welcome to My Nightmare,Alice Cooper,north america,male,spotify,607,rock,0,310
