artist,song_title,gender,ethnicity,lyrics_source
Daniel Padilla,Kumusta Ka,Male,Asia,genius
Iwan Fals,Sugali,Male,Asia,genius
Ebiet G. Ade,Kupu-Kupu Kertas,Male,Asia,genius
Liyana Fizi,Light Writing,Female,Asia,genius
Siti Nurhaliza,Purnama Merindu,Female,Asia,genius
Misha Omar,Untukmu Selamanya,Female,Asia,genius
Cornelius,Brazil,Male,Asia,genius
Keiichi Okabe,Song Of The Ancients / Popola,Male,Asia,genius
Geeta Dutt,Waqt Ne Kiya Kya Haseen Sitam,Female,Asia,genius
Yonca Evcimik,Dokunuver,Female,Asia,genius
Aiza Seguerra,If We Try,Female,Asia,genius
Iwan Fals,Ambulan Zig Zag,Male,Asia,genius
Erdem Yener,Kaybeden,Male,Asia,genius
Iwan Fals,Sebelum Kau Bosan,Male,Asia,genius
Inoran,Raize,Male,Asia,genius
Keiichi Okabe,The Dark Colossus Destroys All,Male,Asia,genius
Ariel Rivera,Minamahal Pala Kita,Male,Asia,genius
Bunga Citra Lestari,Cinta Pertama (Sunny),Female,Asia,genius
Tata Young,Lonely In Space,Female,Asia,genius
Leah Dizon,Lost At Sea,Female,Asia,genius
Tomohisa Yamashita,Baby Baby,Male,Asia,genius
Sowelu,Glisten,Female,Asia,genius
Asha Bhosle,Aao Huzoor Tumko,Female,Asia,genius
Charice,Far As The Sky,Female,Asia,genius
Ahmet Kaya,Karar Vermek Zor,Male,Asia,genius
Ogie Alcasid,Bakit Ngayon Ka Lang,Male,Asia,genius
Tata Young,Dhoom Dhoom,Female,Asia,genius
Gloc-9,Intro Ni Mike Swift,Male,Asia,genius
Sagopa Kajmer,Leyli,Male,Asia,genius
Ebiet G. Ade,Ayah Aku Mohon Maaf,Male,Asia,genius
Mustafa Sandal,Neler Neler,Male,Asia,genius
Ayushmann Khurrana,Pani Da Rang (Male),Male,Asia,genius
Sowelu,Rainbow,Female,Asia,genius
Olivia,Mint,Female,Asia,genius
Aiza Seguerra,Pagdating Ng Panahon,Female,Asia,genius
Abra,Gayuma,Male,Asia,genius
Fantastic Plastic Machine,You Must Learn All Night Long,Male,Asia,genius
Sezen Aksu,Elveda,Female,Asia,genius
Nujabes,Sea Of Cloud,Male,Asia,genius
Lia,"My Soul, Your Beats!",Female,Asia,genius
Regine Velasquez,Reason Enough,Female,Asia,genius
Gackt,Saikai-Story-,Male,Asia,genius
Gackt,Papa Lapped A Pap Lopped,Male,Asia,genius
Bonnie Pink,Mad Afternoon,Female,Asia,genius
Ebiet G. Ade,Mimpi-Mimpi Yang Kandas,Male,Asia,genius
Gackt,Another World,Male,Asia,genius
Yasmin Levy,Nani Nani,Female,Asia,genius
Sarah Geronimo,Minsan,Female,Asia,genius
Gary Valenciano,Letting Go,Male,Asia,genius
Tomohisa Yamashita,Everybody Up,Male,Asia,genius
Dario Moreno,Brigitte Bardot,Male,Asia,genius
Erkin Koray,Hay Yam Yam,Male,Asia,genius
Sowelu,Beautiful Dreamer,Female,Asia,genius
Ua,TORO,Female,Asia,genius
DJ Honda,When You Hot You Hot,Male,Asia,genius
Lia,You Are...,Female,Asia,genius
Kris Dayanti,Belum Juga Datang,Female,Asia,genius
Love,Nice To Be,Female,Asia,genius
Deniz Seki,Suya Hapsettim,Female,Asia,genius
Tarkan,Durum Beter,Male,Asia,genius
Siti Nurhaliza,Cari-Cari,Female,Asia,genius
Dana International,Language Of Love,Female,Asia,genius
Iwan Fals,Barang Antik,Male,Asia,genius
Olivia Ong,Kiss Me,Female,Asia,genius
Volkan Konak,Rose Marie,Male,Asia,genius
Gary Valenciano,I Believe,Male,Asia,genius
Towa Tei,Let Me Know,Male,Asia,genius
Sarah Geronimo,Before I Let You Go,Female,Asia,genius
Kokia,Say Hi!!,Female,Asia,genius
Ajda Pekkan,Dile Kolay,Female,Asia,genius
Iwan Fals,Timur Tengah I,Male,Asia,genius
Olivia Ong,For Your Babies,Female,Asia,genius
Mustafa Sandal,Kavrulduk,Male,Asia,genius
Jolina Magdangal,Bahala Na,Female,Asia,genius
Crystal Kay,Ex-Boyfriend,Female,Asia,genius
Love,Car Lights On In The Daytime Blues,Female,Asia,genius
Eef Barzelay,Lose Big,Male,Asia,genius
Sudirman,Balik Kampung,Male,Asia,genius
Minmi,STEP,Female,Asia,genius
Love,August,Female,Asia,genius
Noa,Today,Female,Asia,genius
Nusrat Fateh Ali Khan,Ali Da Malang,Male,Asia,genius
Asaf Avidan,Conspiratory Visions Of Gomorrah,Male,Asia,genius
Haluk Levent,Yeter Ki,Male,Asia,genius
Regine Velasquez,Sa Aking Pag-Iisa,Female,Asia,genius
Charice,Thank You,Female,Asia,genius
Erik Santos,Here I Am,Male,Asia,genius
Rafet El Roman,Sorma Neden,Male,Asia,genius
Hitomi,Blade Runner,Female,Asia,genius
Kotoko,Blaze,Female,Asia,genius
Borgore,Turn Around,Male,Asia,genius
Bird,Souls,Female,Asia,genius
Iwan Fals,Karena Kau Bunda Kami,Male,Asia,genius
Tarkan,Gitme,Male,Asia,genius
Kishore Kumar,Zindagi Ek Safar Hai Suhana,Male,Asia,genius
Divya Kumar,Jee Karda,Male,Asia,genius
Nujabes,Music Is Mine,Male,Asia,genius
Erkin Koray,Yok Yok,Male,Asia,genius
Iwan Fals,Lho,Male,Asia,genius
Ahmet Kaya,Ah!...,Male,Asia,genius
Sertab Erener,Oysa,Female,Asia,genius
Sezen Aksu,Tutsak,Female,Asia,genius
Love,Alone Again Or,Female,Asia,genius
Love,Love Is More Than Words (Or Better Late Than Never),Female,Asia,genius
Kishore Kumar,Pyar Manga Hai Tumhi Se,Male,Asia,genius
Sertab Erener,Got Me Like Oh,Female,Asia,genius
DJ Honda,International Anthem,Male,Asia,genius
Nina,Saving Forever For You,Female,Asia,genius
Crystal Kay,Kirakuni,Female,Asia,genius
Sharon Cuneta,How Am I Supposed To Live Without You,Female,Asia,genius
Christian Bautista,Please Be Careful With My Heart,Male,Asia,genius
Zhu,In The Morning,Male,Asia,genius
Tomohisa Yamashita,Nextaction,Male,Asia,genius
Olivia Ong,Stars,Female,Asia,genius
Hide,Bacteria,Male,Asia,genius
Olivia Ong,I Believe (Chinese),Female,Asia,genius
Daniel Padilla,Kasama Kang Tumanda,Male,Asia,genius
Bird,Flow,Female,Asia,genius
Funda Arar,Yak Gel,Female,Asia,genius
Kahimi Karie,Lolitapop Dollhouse,Female,Asia,genius
Gackt,Dispar,Male,Asia,genius
Bonnie Pink,I Just Want You To Be Happy,Female,Asia,genius
Arijit Singh,Jiya,Male,Asia,genius
Minmi,Another World,Female,Asia,genius
Ahmet Kaya,Rinna Rinnan Nay,Male,Asia,genius
Gary Valenciano,Search And Know,Male,Asia,genius
Farhan Akhtar,Tum Ho Toh,Male,Asia,genius
Sezen Aksu,Kibir,Female,Asia,genius
Lea Salonga,Nandito Ako,Female,Asia,genius
Sarah Geronimo,Hanggang Kailan,Female,Asia,genius
Nujabes,Thank You,Male,Asia,genius
Nusrat Fateh Ali Khan,The Face Of Love,Male,Asia,genius
Bonnie Pink,Believe,Female,Asia,genius
Esther Ofarim,Waking Up,Female,Asia,genius
Lea Salonga,Sa Ugoy Ng Duyan,Female,Asia,genius
Kokia,The Rule Of The Universe,Female,Asia,genius
Ahmet Kaya,Hikayemiz (Bizim),Male,Asia,genius
Christian Bautista,I Could Not Ask For More,Male,Asia,genius
Edip Akbayram,Seni Sevmek,Male,Asia,genius
Teoman,Mektup,Male,Asia,genius
Mithoon,Sanam Re,Male,Asia,genius
Zhu,Paradise Awaits,Male,Asia,genius
Tata Young,Shine Like A Superstar,Female,Asia,genius
Siti Nurhaliza,Kurik Kundi,Female,Asia,genius
Yui,Jam,Female,Asia,genius
Siti Nurhaliza,Kembalikan Indah,Female,Asia,genius
Ziana Zain,Menadah Gerimis,Female,Asia,genius
Shankar Mahadevan,Breathless Album Breathless 98,Male,Asia,genius
Lea Salonga,Please Naman,Female,Asia,genius
Love,Revelation,Female,Asia,genius
Iwan Fals,Selamat Tinggal Malam,Male,Asia,genius
Hitomi,My Planet,Female,Asia,genius
Rie Fu,Life Is Like A Boat,Female,Asia,genius
Crystal Kay,Motherland,Female,Asia,genius
Corrinne May,On My Way,Female,Asia,genius
Deniz Seki,Ey Kalbim,Female,Asia,genius
Sibel Can,Gurur,Female,Asia,genius
Liyana Fizi,Last Notice,Female,Asia,genius
Kotoko,Belvedia,Female,Asia,genius
Iwan Fals,Lagu Enam,Male,Asia,genius
Gackt,Ash,Male,Asia,genius
Tata Young,I Want What I Want,Female,Asia,genius
Iwan Fals,Besar Dan Kecil,Male,Asia,genius
Yoji Biomehanika,Samurai,Male,Asia,genius
Liyana Fizi,Only One,Female,Asia,genius
Iwan Fals,Ada,Male,Asia,genius
Lea Salonga,Love Look Away,Female,Asia,genius
Jyongri,Lullaby For You,Female,Asia,genius
Iwan Fals,14-4-84,Male,Asia,genius
Siti Nurhaliza,Kau Ku Sayang,Female,Asia,genius
Nev,Bu Gece,Male,Asia,genius
DJ Honda,Fuk Dat,Male,Asia,genius
Gackt,Ares,Male,Asia,genius
Ua,Horizon,Female,Asia,genius
Dana International,Free,Female,Asia,genius
Nil Karaibrahimgil,Seviyorum Sevmiyorum,Female,Asia,genius
Olivia Ong,Driving,Female,Asia,genius
Dhanush,Why This Kolaveri Di,Male,Asia,genius
Hadise,Stir Me Up,Female,Asia,genius
Iwan Fals,Surat Buat Wakil Rakyat,Male,Asia,genius
Nil Karaibrahimgil,Nesi Var?,Female,Asia,genius
Kotoko,Bright Wings,Female,Asia,genius
Zee Avi,Honey Bee,Female,Asia,genius
Yasmin Levy,Una Pastora,Female,Asia,genius
Crystal Kay,&Brand-New,Female,Asia,genius
Zeebra,Golden Mic(Remix),Male,Asia,genius
A. R. Rahman,Dheeme Dheeme,Male,Asia,genius
Esther Ofarim,Pizmon Layakinton,Female,Asia,genius
Crystal Kay,Love Or Game,Female,Asia,genius
Deniz Seki,Sen Bensiz Ben Sensiz,Female,Asia,genius
Daliah Lavi,Meine Art Liebe Zu Zeigen,Female,Asia,genius
Crystal Kay,Lonely Girl,Female,Asia,genius
Nina,I Need Your Love,Female,Asia,genius
Rie Fu,Dreams Be,Female,Asia,genius
Love,My Flash On You,Female,Asia,genius
Crystal Kay,One,Female,Asia,genius
Nil Karaibrahimgil,Kazablanka,Female,Asia,genius
Ajda Pekkan,Sen Ve Ben,Female,Asia,genius
Anuar Zain,Jangan Bersedih Lagi,Male,Asia,genius
Erkin Koray,Hop Hop Gelsin,Male,Asia,genius
Gary Valenciano,'di Bale Na Lang,Male,Asia,genius
Olivia,My Daddy,Female,Asia,genius
Eterne Rima,Por La Rep',Male,Asia,genius
AI,California,Female,Asia,genius
Corrinne May,24 Hours,Female,Asia,genius
Ziana Zain,Putus Terpaksa,Female,Asia,genius
Borgore,Cry Me A River,Male,Asia,genius
Teoman,Tuzak,Male,Asia,genius
Olivia Ong,Only With You,Female,Asia,genius
Asaf Avidan,Thumbtacks In My Marrow,Male,Asia,genius
Kishore Kumar,Dil Kya Kare,Male,Asia,genius
Hitomi,UNDER THE SUN,Female,Asia,genius
Tarkan,Pare Pare,Male,Asia,genius
Nina,Heaven,Female,Asia,genius
Misha Omar,Riwayat Cinta,Female,Asia,genius
Miyavi,Senor Senora Senorita,Male,Asia,genius
Ua,Horizon,Female,Asia,genius
Iwan Fals,Intro,Male,Asia,genius
A. R. Rahman,Tu Hi Re,Male,Asia,genius
Bonnie Pink,Surprise!,Female,Asia,genius
Mustafa Sandal,Karizma,Male,Asia,genius
Iwan Fals,Hura Hura Huru Hara,Male,Asia,genius
Chihiro,Only U,Female,Asia,genius
Iwan Fals,Timur Tengah II,Male,Asia,genius
Crystal Kay,Move On,Female,Asia,genius
Hitomi,Plain,Female,Asia,genius
Anuar Zain,Rindu Belaian,Male,Asia,genius
The Idan Raichel Project,Haer Et Einav,Male,Asia,genius
Olivia,Silly Bitch In Love,Female,Asia,genius
Kahimi Karie,Tornado (Inside),Female,Asia,genius
Hitomi,Understanding,Female,Asia,genius
Shaan,Jab Se Tere Naina,Male,Asia,genius
Esther Ofarim,Bird On The Wire,Female,Asia,genius
Lea Salonga,Sa Ugoy NG Duyan,Female,Asia,genius
Daniel Padilla,Ipagpatawad Mo,Male,Asia,genius
Ajda Pekkan,Senden Uzakta,Female,Asia,genius
Regine Velasquez,Tonight,Female,Asia,genius
Nina,Sayang Naman,Female,Asia,genius
Gary Valenciano,Growing Up,Male,Asia,genius
Ankit Tiwari,Sunn Raha Hai,Male,Asia,genius
Crystal Kay,Take It Outside,Female,Asia,genius
Leah Dizon,Love Paradox,Female,Asia,genius
Noa,Too Painful,Female,Asia,genius
Regine Velasquez,Know It,Female,Asia,genius
Kylee,NEVER GIVE UP!,Female,Asia,genius
Shreya Ghoshal,Nagada Sang Dhol,Female,Asia,genius
Freddie Aguilar,Kinabukasan,Male,Asia,genius
Yuna,Permission,Female,Asia,genius
Geva Alon,Sunny Day,Male,Asia,genius
Teoman,Uykusuz Her Gece,Male,Asia,genius
Siti Nurhaliza,Patah Hati,Female,Asia,genius
Minmi,South Orange,Female,Asia,genius
Lea Salonga,Only You,Female,Asia,genius
Geeta Dutt,Jaa Jaa Jaa Bewafa,Female,Asia,genius
Toni Gonzaga,I Love You So,Female,Asia,genius
Hadise,Dum Tek Tek,Female,Asia,genius
Lata Mangeshkar,Tere Bina Zindagi Se,Female,Asia,genius
Crystal Kay,Honey Glue,Female,Asia,genius
Chihiro,Love Song,Female,Asia,genius
Volkan Konak,Kavga,Male,Asia,genius
Hande Yener,Bedenim Senin Oldu,Female,Asia,genius
Bonnie Pink,Do You Crash?,Female,Asia,genius
Inoran,I Wish I Had Never Met You,Male,Asia,genius
Azu,For You,Female,Asia,genius
Noa,Space,Female,Asia,genius
Lia,Sky High,Female,Asia,genius
Ebiet G. Ade,Masih Ada Waktu,Male,Asia,genius
Ogie Alcasid,Kung Mawawala Ka,Male,Asia,genius
Nina,Jealous,Female,Asia,genius
Geva Alon,Learn,Male,Asia,genius
Tomohisa Yamashita,Crazy You,Male,Asia,genius
Kahimi Karie,A Fantastic Moment,Female,Asia,genius
Kahimi Karie,He Shoots The Sun,Female,Asia,genius
Rie Fu,Life Is Like A Boat,Female,Asia,genius
Crystal Kay,Help Me Out,Female,Asia,genius
Nev,Bazen,Male,Asia,genius
Gackt,Last Song,Male,Asia,genius
Geva Alon,That Grassy Hill Of Mine,Male,Asia,genius
Ajda Pekkan,Gerisi Hikaye,Female,Asia,genius
Crystal Kay,Missin' U Baby,Female,Asia,genius
Sagopa Kajmer,Maskeli Balo,Male,Asia,genius
Ceza,Med Cezir,Male,Asia,genius
Nina,Di Ba,Female,Asia,genius
Hayko Cepkin,Melekler,Male,Asia,genius
Misha Omar,Pulangkan,Female,Asia,genius
Siti Nurhaliza,Nian Di Hati,Female,Asia,genius
Haluk Levent,Heyyamola,Male,Asia,genius
Zeebra,After Party,Male,Asia,genius
Kotoko,Lupe,Female,Asia,genius
Asaf Avidan,Cyclamen,Male,Asia,genius
Hande Yener,Yarasa,Female,Asia,genius
Rafet El Roman,Direniyorum,Male,Asia,genius
Bonnie Pink,Movin' On,Female,Asia,genius
Udit Narayan,Papa Kehte Hain,Male,Asia,genius
Siti Nurhaliza,Diari Hatimu,Female,Asia,genius
A. R. Rahman,September Madham,Male,Asia,genius
Haluk Levent,Nenni,Male,Asia,genius
Freddie Aguilar,Tuwing Pasko,Male,Asia,genius
Crystal Kay,Good Morning Sue,Female,Asia,genius
Hitomi,CANDY GIRL,Female,Asia,genius
Iwan Fals,Hadapi Saja,Male,Asia,genius
Gackt,U+K,Male,Asia,genius
Gackt,Rain,Male,Asia,genius
Olivia Ong,Lovefool,Female,Asia,genius
Liza Hanim,Menjunjung Asmara,Female,Asia,genius
Kris Dayanti,Jangan Pergi,Female,Asia,genius
Olivia,Dear Angel (English Version),Female,Asia,genius
Hitomi,Japanese girl,Female,Asia,genius
Aiza Seguerra,May Isa Pa... (Nagmamahal Sa Iyo),Female,Asia,genius
Lea Salonga,I Wanna Little Love,Female,Asia,genius
Kotoko,My-Les,Female,Asia,genius
Sezen Aksu,Menajer,Female,Asia,genius
Iwan Fals,Obat Awet Muda,Male,Asia,genius
Mike Brant,Mr. Schubert I Love You,Male,Asia,genius
Regine Velasquez,Isang Lahi,Female,Asia,genius
Mike Brant,Malaguena,Male,Asia,genius
Shefali Alvares,O Gujariya,Female,Asia,genius
Mustafa Sandal,Kimbilir Kim,Male,Asia,genius
Eef Barzelay,Thanksgiving Waves,Male,Asia,genius
Zhu,Superfriends,Male,Asia,genius
Hande Yener,Sen Yoluna Ben Yoluma,Female,Asia,genius
Kylee,Just Breathe,Female,Asia,genius
Kahimi Karie,Lost In A Paris Nightclub,Female,Asia,genius
Bonnie Pink,Bedtime Story,Female,Asia,genius
Noa,Carefully,Female,Asia,genius
Noa,Blue Touches Blue,Female,Asia,genius
Cem Adrian,Yine Geldi Sonbahar,Male,Asia,genius
Mike Brant,Qui Saura,Male,Asia,genius
Keren Ann,My Name Is Trouble,Female,Asia,genius
Sam Milby,Magmahal Muli,Male,Asia,genius
Chrisye,Merpati Putih,Male,Asia,genius
Tarkan,Kimdi?,Male,Asia,genius
Donna Cruz,Wish,Female,Asia,genius
Vishal Dadlani,Madari,Male,Asia,genius
LiSA,Now And Future,Female,Asia,genius
Kotoko,Command+S,Female,Asia,genius
Tomohisa Yamashita,One Girl,Male,Asia,genius
Regine Velasquez,Tanging Mahal,Female,Asia,genius
A. R. Rahman,Chale Chalo,Male,Asia,genius
Erkin Koray,Gaddar,Male,Asia,genius
Iwan Fals,Manusia Setengah Dewa,Male,Asia,genius
Zee Avi,Frosty The Snowman,Female,Asia,genius
Kishore Kumar,Jhumroo: Main Hoon Jhoom Jhoom Jhumroo,Male,Asia,genius
Mondo Grosso,Blaze It Up,Male,Asia,genius
Lia,Fairy Land,Female,Asia,genius
Jackie Chan,Just For Tonight,Male,Asia,genius
Yuria,You Make My Day!,Female,Asia,genius
Kahimi Karie,Elastic Girl,Female,Asia,genius
Tomohisa Yamashita,Turn Off The Lights,Male,Asia,genius
Jackie Chan,Wait For Me,Male,Asia,genius
Daniel Padilla,Sisikat Din Ako,Male,Asia,genius
Gackt,Cube,Male,Asia,genius
Keren Ann,For You And I,Female,Asia,genius
Love,I Still Wonder,Female,Asia,genius
Ahmet Kaya,Arka Mahalle,Male,Asia,genius
Sarah Geronimo,Mr. Deadma,Female,Asia,genius
Sagopa Kajmer,Etki Tepki,Male,Asia,genius
Rafet El Roman,Ebedi Sevgili,Male,Asia,genius
Haluk Levent,Mektup,Male,Asia,genius
Sarah Geronimo,Light Of A Million Mornings,Female,Asia,genius
Aiza Seguerra,Pinakamamahal,Female,Asia,genius
Lea Salonga,I Remember The Boy,Female,Asia,genius
Rico Blanco,Outta This,Male,Asia,genius
Kahimi Karie,Metaphors,Female,Asia,genius
Olivia Ong,Sometimes When We Touch,Female,Asia,genius
Minmi,Once Upon A Star,Female,Asia,genius
Ebiet G. Ade,Cinta Sebening Embun,Male,Asia,genius
Sarah Geronimo,Pangarap Ko Ang Ibigin Ka,Female,Asia,genius
Saori@destiny,Beatbop,Female,Asia,genius
Olivia,Wish,Female,Asia,genius
Inoran,Calling Down,Male,Asia,genius
Christian Bautista,Ang Tangi Kong Kasama,Male,Asia,genius
Gary Valenciano,How Did You Know,Male,Asia,genius
Gackt,White Eyes,Male,Asia,genius
Tomohisa Yamashita,Magic,Male,Asia,genius
Love,Gather 'Round,Female,Asia,genius
Eef Barzelay,Let Us Be Naked,Male,Asia,genius
Paolo Santos,You Got Me Up,Male,Asia,genius
Demir Demirkan,Kahpe,Male,Asia,genius
Yonca Evcimik,Boomerang,Female,Asia,genius
Ajda Pekkan,Ya Sonra,Female,Asia,genius
Liza Hanim,Barang Yang Lepas Jangan Di Kenang,Female,Asia,genius
Chrisye,Kisah Cintaku,Male,Asia,genius
Borgore,Hate,Male,Asia,genius
Sam Concepcion,"Love, Love, Love",Male,Asia,genius
Olivia,So Sexy,Female,Asia,genius
Mustafa Sandal,Kalmadi,Male,Asia,genius
Minmi,Are Yu Ready,Female,Asia,genius
Sezen Aksu,Git,Female,Asia,genius
Deniz Seki,Zor Mu?,Female,Asia,genius
Keiichi Okabe,Blu-bird,Male,Asia,genius
Love,The Castle,Female,Asia,genius
Erkin Koray,Erkin Koray Meyhanede,Male,Asia,genius
Rie Fu,Funny Dream,Female,Asia,genius
Sagopa Kajmer,Hayat Arabamla 2005 Mil,Male,Asia,genius
Lea Salonga,Happiness,Female,Asia,genius
Regine Velasquez,Goodbye,Female,Asia,genius
Love,Abalony,Female,Asia,genius
Iwan Fals,Yang Terlupakan,Male,Asia,genius
Borgore,Body And Soul,Male,Asia,genius
Erik Santos,You,Male,Asia,genius
Sertab Erener,Mi Acaba,Female,Asia,genius
Agnes Monica,Paralyzed,Female,Asia,genius
Gloc-9,Tinta,Male,Asia,genius
Regine Velasquez,On The Wings Of Love,Female,Asia,genius
Cornelius,New Music MacHine,Male,Asia,genius
Hitomi,COSMIC WORLD (Intro),Female,Asia,genius
Jackie Chan,Staying With You All My Life,Male,Asia,genius
Olivia,Color Of Your Spoon,Female,Asia,genius
Tata Young,Betcha Neva,Female,Asia,genius
Siti Nurhaliza,Satu Cinta Dua Jiwa,Female,Asia,genius
Yuna,Remember My Name,Female,Asia,genius
Susan Wong,Where Did Our Love Go,Female,Asia,genius
Noel Cabangon,Kanlungan,Male,Asia,genius
Cem Karaca,Kendim Ettim Kendim Buldum,Male,Asia,genius
Rie Fu,Until I Say,Female,Asia,genius
Keren Ann,Sit In The Sun,Female,Asia,genius
Hide,Fish Scratch Fever,Male,Asia,genius
Deniz Seki,Seni Seveni Sev,Female,Asia,genius
